鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
竹北市,房地(土地+建物)+車位,家興段451~480地號,17.66,住,,,1070504,土地2建物1車位1,一層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,68.06,0,1,1,有,無,7750000,148465,坡道平面,24.75,1320000,,RPROMLTLNHNFFBJ86CB
竹北市,房地(土地+建物),家興段451~480地號,23.03,住,,,1061219,土地2建物1車位0,一層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,87.07,0,1,1,有,無,9260000,106351,,0.0,0,,RPSOMLTLNHNFFBJ96CB
竹北市,房地(土地+建物)+車位,家興段451~480地號,23.22,住,,,1061120,土地2建物1車位2,一層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,86.13,0,1,1,有,無,11280000,237244,坡道平面,47.52,2120000,,RPTOMLTLNHNFFBJ07CB
竹北市,房地(土地+建物),家興段451~480地號,21.88,住,,,1070102,土地2建物1車位0,一層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,83.77,0,1,1,有,無,8430000,100633,,0.0,0,,RPUOMLTLNHNFFBJ17CB
竹北市,房地(土地+建物)+車位,家興段451~480地號,43.38,住,,,1061117,土地2建物1車位2,二層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,167.11,3,2,2,有,無,17030000,128816,坡道平面,49.5,1880000,,RPVOMLTLNHNFFBJ27CB
竹北市,房地(土地+建物)+車位,家興段451~480地號,41.65,住,,,1061127,土地2建物1車位2,二層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,159.18,3,2,2,有,無,15860000,125274,坡道平面,49.5,2120000,,RPWOMLTLNHNFFBJ37CB
竹北市,房地(土地+建物)+車位,家興段451~480地號,39.35,住,,,1061115,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,151.29,3,2,2,有,無,14360000,103841,坡道平面,24.75,1220000,,RPOPMLTLNHNFFBJ66CB
竹北市,房地(土地+建物)+車位,家興段451~480地號,38.0,住,,,1070102,土地2建物1車位2,二層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,144.84,3,2,2,有,無,14160000,125656,坡道平面,49.5,2180000,,RPPPMLTLNHNFFBJ76CB
竹北市,房地(土地+建物)+車位,家興段451~480地號,43.38,住,,,1061106,土地2建物1車位2,三層,13,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,167.11,3,2,2,有,無,17170000,127285,坡道平面,49.5,2200000,,RPQPMLTLNHNFFBJ86CB
