編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSPMLLLNHNFFBJ09DC,3,337.88,見其他登記事項,鋼筋混凝土造,104年2月2日,四層,
RPVPMLKMNHNFFBJ66CC,25,222.47,住家用,鋼筋混凝土造,82年9月14日,七層,
RPVPMLKMNHNFFBJ66CC,25,12.97,共用部分,鋼筋混凝土造,82年9月14日,七層,
RPVPMLKMNHNFFBJ66CC,25,16.32,共用部分,鋼筋混凝土造,82年9月14日,七層,
RPQPMLLLNHNFFBJ88DC,10,57.46,商業用,鋼筋混凝土造,97年6月19日,八層,
RPQPMLLLNHNFFBJ88DC,10,35.64,共用部分,鋼筋混凝土造,97年6月19日,八層,
RPQPMLNLNHNFFBJ09DC,10,153.49,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPQPMLNLNHNFFBJ09DC,10,12.86,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPQPMLNLNHNFFBJ09DC,10,20.23,共用部分,鋼筋混凝土造,97年3月21日,十三層,
RPPQMLSLNHNFFBJ86CC,12,94.02,住家用,鋼筋混凝土造,95年5月19日,十五層,
RPPQMLSLNHNFFBJ86CC,12,12.38,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPPQMLSLNHNFFBJ86CC,12,42.87,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPPQMLSLNHNFFBJ86CC,12,.05,見其他登記事項,鋼筋混凝土造,95年5月19日,十五層,
RPPOMLLLNHNFFBJ58CC,12,31.70,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPPOMLLLNHNFFBJ58CC,12,3.72,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPPOMLLLNHNFFBJ58CC,12,6.65,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPRNMLLMNHNFFBJ78CC,8,69.57,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPRNMLLMNHNFFBJ78CC,8,76.72,共用部分,鋼筋混凝土造,99年2月8日,十八層,
RPRPMLLMNHNFFBJ98CC,15,224.71,住家用,鋼筋混凝土造,92年9月8日,四層,
RPSQMLTLNHNFFBJ37DC,25,47.39,商業用,鋼筋混凝土造,82年8月18日,七層,
RPSQMLTLNHNFFBJ37DC,25,46.27,共用部分,鋼筋混凝土造,82年8月18日,七層,
RPRTMLKMNHNFFBJ66CC,26,38.79,住家用,鋼筋混凝土造,81年11月13日,五層,
RPWTMLKMNHNFFBJ17CC,11,145.27,商業用,鋼筋混凝土造,96年6月25日,十四層,
RPWTMLKMNHNFFBJ17CC,11,15.57,共有部份,鋼筋混凝土造,96年6月25日,十四層,
RPWTMLKMNHNFFBJ17CC,11,13.33,共有部份,鋼筋混凝土造,96年6月25日,十四層,
RPPNMLLMNHNFFBJ58CC,12,55.19,住家用,鋼筋混凝土造,94年11月7日,十四層,
RPPNMLLMNHNFFBJ58CC,12,9.98,共用部分,鋼筋混凝土造,94年11月7日,十四層,
RPPNMLLMNHNFFBJ58CC,12,8.91,共用部分,鋼筋混凝土造,94年11月7日,十四層,
