編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPSPMLLLNHNFFBJ09DC,中興段,.00,都市：住
RPSPMLLLNHNFFBJ09DC,中興段,.00,都市：住
RPVPMLKMNHNFFBJ66CC,新國段,.00,都市：住
RPQPMLLLNHNFFBJ88DC,公園段,.00,都市：住
RPQPMLNLNHNFFBJ09DC,永興段,.00,都市：商
RPPQMLSLNHNFFBJ86CC,大學段,.00,都市：商
RPPOMLLLNHNFFBJ58CC,大學段,.00,都市：商
RPRNMLLMNHNFFBJ78CC,世興段,.00,都市：商
RPRPMLLMNHNFFBJ98CC,翰林段,.00,都市：住
RPSQMLTLNHNFFBJ37DC,豆子埔段,.00,都市：住
RPRTMLKMNHNFFBJ66CC,三崁店段三崁店小段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWTMLKMNHNFFBJ17CC,家興段,.00,都市：住
RPPNMLLMNHNFFBJ58CC,翰林段,.00,都市：商
