鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
大湖鄉,土地,新湖段481~510地號,23.51,商,,,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,21268,,0.0,0,,RPPNMLMLNHNFFAK38CA
獅潭鄉,房地(土地+建物),苗栗縣獅潭鄉永興村7鄰下大窩1~30號,19296.0,,山坡地保育區,林業用地,1070426,土地4建物1車位0,一層，二層,二層,農舍,農舍,鋼筋混凝土造,0850123,338.72,8,2,2,有,無,24980000,,,0.0,0,,RPPNMLNLNHNFFAK48CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市綠苗里3鄰僑育街1~30號,34.02,住,,,1070420,土地3建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060930,151.78,3,2,2,有,無,7380000,48623,升降機械,13.82,0,,RPPNMLMLNHNFFBK48CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市恭敬里9鄰中正路1108巷1~30號,43.15,住,,,1070430,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960316,158.16,3,2,1,有,有,5000000,31614,坡道平面,0.0,0,,RPPNMLPLNHNFFBK78CA
苗栗市,房地(土地+建物)+車位,苗1~30號,61.62,,山坡地保育區,丙種建築用地,1070313,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070124,106.63,3,2,2,有,有,5700000,53456,一樓平面,0.0,0,,RPPNMLKMNHNFFBK38CA
苗栗市,房地(土地+建物),苗栗縣苗栗市福麗里鳳形1~30號,115.0,,鄉村區,乙種建築用地,1070502,土地1建物1車位0,全,,透天厝,住家用,加強磚造,,77.39,3,2,2,有,無,1314500,16985,,0.0,0,,RPQNMLLJOHNFFBK38CA
苗栗市,房地(土地+建物),苗栗縣苗栗市府前路160巷37弄1~30號,36.38,住,,,1070505,土地1建物1車位0,一層，地下層,一層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700225,115.53,3,1,2,有,無,4080000,35316,,0.0,0,,RPQNMLTJOHNFFBK56CA
苑裡鎮,土地,苑西段1321~1350地號,61.85,住,,,1070331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1478058,23897,,0.0,0,,RPTNMLOLNHNFFCK56CA
苑裡鎮,土地,苑西段1321~1350地號,53.19,住,,,1070331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1271110,23898,,0.0,0,,RPUNMLOLNHNFFCK66CA
苑裡鎮,土地,苑西段1321~1350地號,52.62,住,,,1070331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1257490,23898,,0.0,0,,RPVNMLOLNHNFFCK76CA
苑裡鎮,土地,苑西段1321~1350地號,108.09,住,,,1070331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2583078,23897,,0.0,0,,RPWNMLOLNHNFFCK86CA
苑裡鎮,土地,苑西段1321~1350地號,228.01,住,,,1070331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5193667,22778,,0.0,0,,RPXNMLOLNHNFFCK96CA
苑裡鎮,土地,苑西段1321~1350地號,279.77,住,,,1070331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6939692,24805,,0.0,0,,RPOOMLOLNHNFFCK78CA
苑裡鎮,土地,田寮段931~960地號,259.0,,特定農業區,農牧用地,1070320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1217300,4700,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLOLNHNFFCK78CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮佳興里23鄰環市路三段571~600號,13.88,住,,,1070422,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011213,133.16,2,2,2,有,無,6120000,45960,坡道平面,0.0,0,,RPROMLLLNHNFFDK88CA
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村5鄰學府路91~120號,16.09,,山坡地保育區,丙種建築用地,1070407,土地1建物1車位0,二層,三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0900629,28.759999999999998,1,1,1,有,有,465000,16168,,0.0,0,,RPPNMLMLNHNFFDK68CA
竹南鎮,土地,東崎頂段1411~1440地號,46.87,,特定農業區,甲種建築用地,1070426,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,262453,5600,,0.0,0,親友關係間之交易。,RPQNMLMLNHNFFDK78CA
後龍鎮,土地,龍北段1021~1050地號,168.0,住,,,1070415,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5414344,32228,,0.0,0,親友、員工或其他特殊關係間之交易。土增稅買方負擔,RPVNMLMLNHNFFDK66CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮港墘里17鄰仁德路259巷38弄31~60號,112.65,住,,,1070127,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051228,225.32000000000002,4,2,4,有,無,13200000,58583,,0.0,0,,RPSOMLMLNHNFFDK09CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮佳興里23鄰環市路三段571~600號,26.99,住,,,1070412,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011213,190.04000000000002,4,1,2,有,有,8200000,43149,一樓平面,4.86,0,,RPPNMLPLNHNFFDK98CA
竹南鎮,土地,仁德段241~270地號,16.15,住,,,1070302,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,474810,29400,,0.0,0,,RPTNMLSLNHNFFDK07CA
竹南鎮,土地,大同段1201~1230地號,1195.5,住,,,1070302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47011900,39324,,0.0,0,,RPROMLSLNHNFFDK96CA
西湖鄉,土地,新高埔段271~300地號,3988.0,,山坡地保育區,農牧用地,1070410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,376,,0.0,0,,RPPNMLSLNHNFFEK76CA
銅鑼鄉,土地,中心埔段中興小段1~30地號,9812.28,,工業區,丁種建築用地,1070307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,184702181,18824,,0.0,0,,RPQNMLMLNHNFFEK88CA
三義鄉,土地,魚藤坪段121~150地號,7779.0,,山坡地保育區,農牧用地,1070414,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,874,,0.0,0,,RPPNMLNLNHNFFEK88CA
銅鑼鄉,土地,老雞隆段541~570地號,200.0,,,,1070313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,363000,1815,,0.0,0,,RPUNMLPJPHNFFEK96CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮山下里16鄰建國路二段31~60號,156.17,住,,,1070329,土地3建物1車位0,全,四層,透天厝,住家用,見其他登記事項,0970423,388.43,9,4,4,有,無,28000000,72085,,0.0,0,,RPUNMLLLNHNFFFK66CA
頭份巿,土地,信義段541~570地號,230.94,工,,,1070504,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2790000,12081,,0.0,0,,RPPNMLMLNHNFFFK88CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮成功里12鄰中興路767巷1~30號,80.64,住,,,1070322,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,0711120,81.0,4,2,2,有,無,3850000,47531,,0.0,0,,RPRNMLMLNHNFFFK09CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮後庄里7鄰公北一路61~90號,1284.51,商,,,1070316,土地1建物1車位0,一層，二層,二層,其他,見其他登記事項,見其他登記事項,0900227,612.82,0,0,0,無,無,190000000,310042,,0.0,0,,RPSNMLMLNHNFFFK56CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮後庄里21鄰公北二路91~120號,14.09,住,,,1070227,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050613,148.61,3,2,2,有,無,8100000,56184,坡道平面,13.34,500000,,RPTNMLMLNHNFFFK66CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮東庄里6鄰昌隆一街331~360號,29.97,住,,,1040720,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061115,165.81,3,2,2,有,有,6830000,44958,坡道平面,33.91,900000,,RPPNMLNLNHNFFFK98CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮東庄里6鄰昌隆一街361~390號,28.9,住,,,1070503,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061115,164.76,3,2,2,有,有,6600000,42797,坡道平面,33.91,1000000,,RPQNMLNLNHNFFFK09CA
南庄鄉,土地,田尾段61~90地號,45.0,,山坡地保育區,丙種建築用地,1070507,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,33333,,0.0,0,,RPWNMLPLNHNFFFK27CA
三灣鄉,土地,銅鑼圈段大銅鑼圈小段61~90地號,102.0,,,,1070502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,2745,,0.0,0,,RPRNMLSLNHNFFFK07CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮後庄里20鄰八德一路151~180號,14.21,商,,,1040420,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060808,111.09,0,0,0,無,有,6540000,65068,坡道機械,20.57,650000,,RPXNMLTLNHNFFFK77CA
南庄鄉,土地,四灣段481~510地號,2165.0,,山坡地保育區,農牧用地,1070414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,831,,0.0,0,內含 未保存建物-鐵皮屋一棟在內,RPRNMLLMNHNFFFK09CA
南庄鄉,土地,北獅里興段北獅里興小段181~210地號,6692.33,,山坡地保育區,農牧用地,1070430,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,1644,,0.0,0,,RPPNMLNJOHNFFFK88CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮後庄里6鄰信中路1~30號,83.46,住,,,1070321,土地2建物1車位0,全,三層,透天厝,住商用,見其他登記事項,0961114,177.78,4,2,3,有,無,8000000,44999,,0.0,0,,RPQNMLQJOHNFFFK66CA
苗栗市,房地(土地+建物),苗栗縣苗栗市勝利里25鄰新東街136巷8弄1~30號,84.0,住,,,1070426,土地1建物1車位0,全,,透天厝,住家用,加強磚造,,56.62,3,1,1,有,無,3200000,56517,,0.0,0,,RPRNMLRJOHNFFBK56DA
苗栗市,土地,恭敬段1501~1530地號,113.0,其他,,,1070408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,7080,,0.0,0,,RPRNMLMLOHNFFBK88DA
三灣鄉,土地,永和山段1~30地號,860.0,,山坡地保育區,農牧用地,1070507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,4070,,0.0,0,,RPRNMLQLNHNFFFK86CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮後庄里4鄰信義路685巷26弄1~30號,87.37,住,,,1070427,土地1建物1車位2,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1030714,235.97,3,2,3,有,有,11300000,47887,一樓平面,0.0,0,,RPRNMLPLNHNFFFK76CA
南庄鄉,土地,北獅里興段北獅里興小段241~270地號,109.0,,山坡地保育區,林業用地,1070410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,1376,,0.0,0,,RPRNMLNLNHNFFFK56CA
