編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPLNHNFFBK78CA,11,113.98,住家用,鋼筋混凝土造,96年3月16日,六層,五層
RPPNMLPLNHNFFBK78CA,11,25.75,停車空間,鋼筋混凝土造,96年3月16日,六層,
RPPNMLPLNHNFFBK78CA,11,18.43,共有部分,鋼筋混凝土造,96年3月16日,六層,
RPPNMLMLNHNFFBK48CA,1,42.55,住家用,鋼筋混凝土造,106年9月30日,九層,九層
RPPNMLMLNHNFFBK48CA,1,33.34,見其他登記事項,鋼筋混凝土造,106年9月30日,九層,
RPPNMLMLNHNFFBK48CA,1,42.55,住家用,鋼筋混凝土造,106年9月30日,九層,九層
RPPNMLMLNHNFFBK48CA,1,33.34,見其他登記事項,鋼筋混凝土造,106年9月30日,九層,
RPQNMLTJOHNFFBK56CA,37,115.53,住家用,鋼筋混凝土造,70年2月25日,一層,一層 地下層
RPQNMLLJOHNFFBK38CA,,77.39,住家用,加強磚造,,,一層
RPROMLLLNHNFFDK88CA,5,86.86,見其他登記事項,鋼筋混凝土造,101年12月13日,十五層,十四層
RPROMLLLNHNFFDK88CA,5,46.30,共有部分,鋼筋混凝土造,101年12月13日,十五層,
RPPNMLNLNHNFFAK48CA,22,338.72,農舍,鋼筋混凝土造,85年1月23日,二層,一層 二層
RPPNMLKMNHNFFBK38CA,,73.48,住家用,鋼筋混凝土造,107年1月24日,五層,五層
RPPNMLKMNHNFFBK38CA,,33.15,見其他登記事項,鋼筋混凝土造,107年1月24日,五層,
RPPNMLMLNHNFFDK68CA,17,22.47,住家用,鋼筋混凝土造,90年6月29日,三層,二層
RPPNMLMLNHNFFDK68CA,17,6.29,見其他登記事項,鋼筋混凝土造,90年6月29日,三層,
RPPNMLPLNHNFFDK98CA,5,138.99,見其他登記事項,鋼筋混凝土造,101年12月13日,十五層,十三層
RPPNMLPLNHNFFDK98CA,5,51.05,共有部分,鋼筋混凝土造,101年12月13日,十五層,
RPSOMLMLNHNFFDK09CA,1,216.83,見其他登記事項,鋼筋混凝土造,105年12月28日,四層,一層 二層 三層 四層
RPSOMLMLNHNFFDK09CA,1,8.49,見其他登記事項,鋼筋混凝土造,105年12月28日,四層,
RPTNMLMLNHNFFFK66CA,2,96.89,見其他登記事項,鋼筋混凝土造,105年6月13日,十四層,十四層
RPTNMLMLNHNFFFK66CA,2,51.72,見其他登記事項,鋼筋混凝土造,105年6月13日,十四層,
