編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLPLNHNFFBK78CA,恭敬段,43.15,都市：住
RPVNMLOLNHNFFCK76CA,苑西段,52.62,都市：住
RPWNMLOLNHNFFCK86CA,苑西段,54.23,都市：住
RPWNMLOLNHNFFCK86CA,苑西段,53.86,都市：住
RPUNMLOLNHNFFCK66CA,苑西段,53.19,都市：住
RPTNMLOLNHNFFCK56CA,苑西段,61.85,都市：住
RPXNMLOLNHNFFCK96CA,苑西段,109.63,都市：住
RPXNMLOLNHNFFCK96CA,苑西段,118.38,都市：住
RPOOMLOLNHNFFCK78CA,苑西段,279.77,都市：住
RPPNMLOLNHNFFCK78CA,田寮段,259.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMLNHNFFBK48CA,苗栗段,12.99,都市：住
RPPNMLMLNHNFFBK48CA,苗栗段,12.99,都市：住
RPPNMLMLNHNFFBK48CA,苗栗段,3.92,都市：住
RPPNMLMLNHNFFBK48CA,苗栗段,3.92,都市：住
RPPNMLMLNHNFFBK48CA,苗栗段,.09,都市：住
RPPNMLMLNHNFFBK48CA,苗栗段,.09,都市：住
RPQNMLTJOHNFFBK56CA,苗栗段,36.38,都市：住
RPQNMLLJOHNFFBK38CA,福麗段,115.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLLLNHNFFDK88CA,公義段,13.88,都市：住
RPPNMLMLNHNFFAK38CA,新湖段,23.51,都市：商
RPPNMLSLNHNFFEK76CA,新高埔段,3988.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMLNHNFFEK88CA,中心埔段中興小段,9812.28,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLNLNHNFFEK88CA,魚藤坪段,7724.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLNLNHNFFEK88CA,魚藤坪段,55.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLSLNHNFFDK96CA,大同段,1195.50,都市：住
RPTNMLSLNHNFFDK07CA,仁德段,.54,都市：住
RPTNMLSLNHNFFDK07CA,仁德段,10.04,都市：住
RPTNMLSLNHNFFDK07CA,仁德段,5.57,都市：住
RPUNMLPJPHNFFEK96CA,老雞隆段,200.00,非都市： ; 非都市編定：
RPPNMLNLNHNFFAK48CA,獅潭段永興小段,14236.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPPNMLNLNHNFFAK48CA,獅潭段永興小段,184.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLNLNHNFFAK48CA,獅潭段永興小段,2373.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLNLNHNFFAK48CA,獅潭段永興小段,2503.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFBK38CA,苗栗段,61.62,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLMLNHNFFDK78CA,東崎頂段,19.66,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLMLNHNFFDK78CA,東崎頂段,27.21,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLMLNHNFFDK66CA,龍北段,11.00,都市：住
RPVNMLMLNHNFFDK66CA,龍北段,157.00,都市：住
RPPNMLMLNHNFFDK68CA,淡文湖段,16.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLPLNHNFFDK98CA,公義段,26.99,都市：住
RPSOMLMLNHNFFDK09CA,仁德段,31.03,都市：住
RPSOMLMLNHNFFDK09CA,仁德段,80.77,都市：住
RPSOMLMLNHNFFDK09CA,仁德段,.86,都市：住
RPWNMLPLNHNFFFK27CA,田尾段,24.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWNMLPLNHNFFFK27CA,田尾段,16.00,非都市：河川區 ; 非都市編定：丙種建築用地
RPWNMLPLNHNFFFK27CA,田尾段,5.00,非都市：山坡地保育區 ; 非都市編定：交通用地
RPRNMLSLNHNFFFK07CA,銅鑼圈段大銅鑼圈小段,102.00,非都市： ; 非都市編定：
RPPNMLMLNHNFFFK88CA,信義段,123.01,都市：工
RPPNMLMLNHNFFFK88CA,信義段,83.64,都市：工
RPPNMLMLNHNFFFK88CA,信義段,15.86,都市：其他
RPPNMLMLNHNFFFK88CA,信義段,.18,都市：工
RPPNMLMLNHNFFFK88CA,信義段,8.08,都市：其他
RPPNMLMLNHNFFFK88CA,信義段,.17,都市：工
RPTNMLMLNHNFFFK66CA,光華段,14.09,都市：住
RPRNMLMLNHNFFFK09CA,成功段,26.89,都市：住
RPRNMLMLNHNFFFK09CA,成功段,1.31,都市：住
RPRNMLMLNHNFFFK09CA,成功段,26.75,都市：住
RPRNMLMLNHNFFFK09CA,成功段,25.69,都市：住
RPSNMLMLNHNFFFK56CA,光華段,1126.93,都市：商
RPSNMLMLNHNFFFK56CA,光華段,22.02,都市：商
RPSNMLMLNHNFFFK56CA,光華段,135.56,都市：商
RPQNMLNLNHNFFFK09CA,仁愛段,28.90,都市：住
RPPNMLNLNHNFFFK98CA,仁愛段,29.97,都市：住
RPRNMLNLNHNFFFK56CA,北獅里興段北獅里興小段,42.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPRNMLNLNHNFFFK56CA,北獅里興段北獅里興小段,67.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLLLNHNFFFK66CA,後湖段,144.16,都市：住
RPUNMLLLNHNFFFK66CA,後湖段,8.83,都市：住
RPUNMLLLNHNFFFK66CA,後湖段,3.18,都市：住
RPTNMLNLNHNFFFK76CA,北獅里興段北獅里興小段,45.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNLNHNFFFK76CA,北獅里興段北獅里興小段,66.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPTNMLNLNHNFFFK76CA,北獅里興段北獅里興小段,90.00,非都市：山坡地保育區 ; 非都市編定：林業用地
