編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPNMLPLNHNFFBK78CA,坡道平面,0,
RPPNMLMLNHNFFBK48CA,升降機械,0,13.82
RPROMLLLNHNFFDK88CA,坡道平面,0,
RPPNMLKMNHNFFBK38CA,一樓平面,0,
RPPNMLPLNHNFFDK98CA,一樓平面,0,4.86
RPTNMLMLNHNFFFK66CA,坡道平面,500000,13.34
RPQNMLNLNHNFFFK09CA,坡道平面,1000000,33.91
RPPNMLNLNHNFFFK98CA,坡道平面,900000,33.91
RPWNMLNLNHNFFFK07CA,坡道機械,0,
RPRNMLPLNHNFFFK76CA,一樓平面,0,
RPRNMLPLNHNFFFK76CA,一樓平面,0,
RPXNMLTLNHNFFFK77CA,坡道機械,650000,20.57
RPPOMLNLNHNFFDK88CA,其他,1000000,20.00
RPRNMLNLNHNFFDK98CA,一樓平面,0,
RPQNMLKMNHNFFBK48CA,一樓平面,0,
RPRNMLOLNHNFFCK98CA,坡道機械,0,
RPXNMLNLNHNFFBK76CA,坡道平面,400000,
RPUNMLNLNHNFFDK66CA,坡道平面,0,
RPQNMLOLNHNFFDK98CA,坡道平面,800000,36.72
RPSNMLOLNHNFFDK56CA,坡道平面,450000,31.32
RPRNMLMJOHNFFFK98CA,坡道平面,1250000,26.87
RPRNMLMJOHNFFFK98CA,坡道平面,1250000,26.87
RPQNMLMJOHNFFFK88CA,坡道平面,1250000,26.87
RPTNMLMJOHNFFFK56CA,坡道平面,1050000,25.75
RPSNMLMJOHNFFFK09CA,坡道平面,1100000,26.87
RPVNMLMJOHNFFFK76CA,坡道平面,1100000,26.87
RPUNMLMJOHNFFFK66CA,坡道平面,1100000,26.87
RPSNMLOJOHNFFFK66CA,坡道平面,1100000,26.87
RPVNMLOJOHNFFFK96CA,坡道平面,1100000,26.87
RPUNMLOJOHNFFFK86CA,坡道平面,1100000,26.87
RPWNMLOJOHNFFFK07CA,坡道平面,1100000,26.87
RPXNMLOJOHNFFFK17CA,坡道平面,1100000,26.87
RPPOMLOJOHNFFFK09CA,坡道平面,1100000,26.87
RPTNMLOJOHNFFFK76CA,坡道平面,1250000,26.87
RPTNMLOJOHNFFFK76CA,坡道平面,1250000,26.87
RPROMLOJOHNFFFK66CA,坡道平面,1100000,26.87
RPOOMLOJOHNFFFK98CA,坡道平面,1250000,26.87
RPQOMLOJOHNFFFK56CA,坡道平面,1100000,26.87
RPRNMLOJOHNFFFK56CA,坡道平面,1100000,26.87
RPPNMLTKOHNFFFK96CA,坡道平面,900000,31.17
RPSNMLTKOHNFFFK27CA,坡道平面,900000,31.17
RPQNMLTKOHNFFFK07CA,坡道平面,980000,31.17
RPSOMLOJOHNFFFK76CA,坡道平面,1100000,26.87
RPRNMLTKOHNFFFK17CA,坡道平面,980000,31.17
RPXNMLLMNHNFFFK07CA,坡道平面,900000,39.44
RPXNMLLMNHNFFFK07CA,坡道平面,900000,39.44
RPTNMLOLNHNFFDK66CA,坡道平面,0,
RPUNMLOLNHNFFBK56CA,一樓平面,0,
RPUNMLSLNHNFFDK17CA,坡道平面,900000,33.41
RPRNMLSLNHNFFDK86CA,坡道平面,1000000,33.41
RPVNMLSLNHNFFDK27CA,坡道平面,900000,33.41
RPPOMLTLNHNFFDK86CA,一樓平面,0,
RPPNMLLMNHNFFDK68CA,坡道平面,1050000,28.73
RPQNMLLMNHNFFDK78CA,坡道平面,800000,27.62
RPXOMLOJOHNFFFK27CA,坡道平面,1050000,25.75
RPPPMLOJOHNFFFK56CA,坡道平面,1250000,26.87
RPQPMLOJOHNFFFK66CA,坡道平面,1250000,26.87
RPSPMLOJOHNFFFK86CA,坡道平面,1100000,26.87
RPRPMLOJOHNFFFK76CA,坡道平面,1100000,26.87
RPOOMLPJOHNFFFK09CA,坡道平面,1100000,26.87
RPPOMLPJOHNFFFK56CA,坡道平面,1100000,26.87
RPQOMLPJOHNFFFK66CA,坡道平面,1100000,26.87
RPROMLPJOHNFFFK76CA,坡道平面,1050000,25.75
RPSOMLPJOHNFFFK86CA,坡道平面,1100000,26.87
RPTOMLPJOHNFFFK96CA,坡道平面,1100000,26.87
RPOPMLPJOHNFFFK56CA,坡道平面,1100000,26.87
RPUOMLPJOHNFFFK07CA,坡道平面,1050000,25.75
RPPPMLPJOHNFFFK66CA,坡道平面,1100000,26.87
RPQPMLPJOHNFFFK76CA,坡道平面,1100000,26.87
RPVOMLPJOHNFFFK17CA,坡道平面,1250000,26.87
RPWOMLPJOHNFFFK27CA,坡道平面,1100000,26.87
RPXOMLPJOHNFFFK37CA,坡道平面,1050000,25.75
RPRPMLPJOHNFFFK86CA,坡道平面,1250000,26.87
RPVNMLRJOHNFFFK27CA,坡道平面,1200000,26.87
RPVNMLRJOHNFFFK27CA,坡道平面,1100000,26.87
RPWNMLRJOHNFFFK37CA,坡道平面,1100000,26.87
RPXNMLSLNHNFFFK67CA,坡道平面,1000000,33.91
RPXNMLRJOHNFFFK47CA,坡道平面,1100000,26.87
RPOOMLSLNHNFFFK86CA,坡道平面,900000,33.91
RPVNMLTLNHNFFFK57CA,坡道平面,0,29.00
RPPOMLSLNHNFFFK96CA,坡道平面,900000,33.91
RPQOMLSLNHNFFFK07CA,坡道平面,1100000,33.91
RPPOMLOJOHNFFDK88CA,坡道平面,0,
RPQOMLOJOHNFFDK98CA,坡道平面,0,
RPUNMLTLNHNFFDK27CA,坡道平面,0,
RPUNMLKMNHNFFDK09CA,坡道平面,0,
RPUNMLKMNHNFFDK09CA,坡道平面,0,
RPPNMLTJOHNFFDK66CA,坡道平面,1100000,32.12
RPTNMLRJOHNFFDK86CA,坡道平面,950000,48.24
RPSNMLRJOHNFFDK76CA,坡道平面,950000,47.23
RPUNMLRJOHNFFDK96CA,坡道平面,900000,47.23
RPVNMLRJOHNFFDK07CA,坡道平面,1000000,47.23
RPSNMLLMNHNFFFK56CA,坡道平面,0,29.00
RPRNMLPJOHNFFBK88CA,升降機械,0,13.82
RPTNMLLJOHNFFBK68CA,一樓平面,0,
RPPNMLOKNHNFFCK98CD,升降機械,0,
RPTNMLQLOHNFFFK17CA,坡道平面,0,13.49
RPPNMLNKOHNFFFK98CA,坡道平面,800000,
