編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLTLNHNFFAM17CA,25,91.80,住家用,鋼筋混凝土造,82年5月19日,六層,五層
RPUNMLTLNHNFFAM17CA,25,58.08,見其他登記事項,鋼筋混凝土造,82年5月19日,六層,
RPRNMLNLNHNFFCM09CA,26,158.79,住家用,鋼筋混凝土造,81年5月27日,四層,一層 二層 三層 四層
RPQNMLMLNHNFFBM78CA,24,18.54,住家用,鋼筋混凝土造,83年7月21日,十三層,十一層
RPQNMLMLNHNFFBM78CA,24,10.21,見其他登記事項,鋼筋混凝土造,83年7月21日,十三層,
RPQNMLMLNHNFFCM88CA,3,228.62,見其他登記事項,鋼筋混凝土造,104年3月30日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLMKOHNFFCM98CA,,550.88,見其他登記事項,鋼骨鋼筋混凝土造,107年2月9日,二層,一層 二層
RPPNMLNLNHNFFDM98CA,28,212.85,住家用,鋼筋混凝土造,79年10月19日,三層,一層 二層 三層
RPVNMLMLNHNFFCM76CA,9,166.50,見其他登記事項,鋼筋混凝土造,97年11月18日,三層,一層 二層 三層 見其他登記事項
RPPOMLQJOHNFFCM56CA,11,143.56,見其他登記事項,鋼筋混凝土造,96年1月31日,三層,一層 二層 三層 屋頂突出物
RPPNMLPKOHNFFEM66CA,12,198.90,住家用,鋼筋混凝土造,94年12月29日,二層,一層 二層
RPQNMLSLNHNFFDM96CA,12,192.73,住家用,鋼筋混凝土造,95年1月26日,三層,一層 二層 三層 屋頂突出物
RPPNMLKMNHNFFEM88CA,64,47.94,住家用,磚造,43年7月1日,一層,一層
RPQNMLPKOHNFFDM66CA,1,368.42,見其他登記事項,鋼筋混凝土造,106年8月25日,五層,一層 二層 三層 四層 五層
RPQNMLPKOHNFFDM66CA,1,.46,見其他登記事項,鋼筋混凝土造,106年8月25日,一層,
RPOOMLQJOHNFFCM09CA,1,229.35,見其他登記事項,鋼筋混凝土造,106年5月23日,四層,一層 二層 三層 四層
RPUNMLLMNHNFFCM66CA,39,168.75,住商用,加強磚造,68年8月31日,二層,一層 二層 騎樓 地下層
RPQNMLKLOHNFFAM58CA,37,86.21,住家用,鋼筋混凝土加強磚造,69年12月25日,一層,一層
RPQNMLMLNHNFFDM98CA,24,201.10,住家用,鋼筋混凝土造,83年6月14日,四層,一層 二層 三層 四層 電梯樓梯間
RPPNMLPLNHNFFAM88CA,25,133.68,住家用,鋼筋混凝土造,82年5月11日,三層,一層 二層 三層
RPWNMLPKOHNFFBM07CA,17,134.75,住家用,鋼筋混凝土造,90年1月10日,一層,一層
RPWNMLMLNHNFFAM66CA,20,63.29,住家用,鋼筋混凝土造,87年4月14日,七層,一層
RPWNMLMLNHNFFAM66CA,20,18.51,見其他登記事項,鋼筋混凝土造,87年4月14日,七層,
RPWNMLMLNHNFFAM66CA,20,9.80,見其他登記事項,鋼筋混凝土造,87年4月14日,七層,
RPTNMLPJOHNFFAM56CA,51,116.56,商業用,鋼筋混凝土加強磚造,56年7月15日,三層,一層 二層 三層 騎樓
