編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPRNMLOLNHNFFAM98CA,樟普寮段,815.69,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLTLNHNFFAM17CA,內新段,54.81,都市：住
RPWNMLPLNHNFFAM96CA,千秋段,95.99,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLPLNHNFFAM86CA,千秋段,119.55,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLKMNHNFFBM56CA,新南埔段,3402.60,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLNLNHNFFAM56CA,東新厝段,2189.62,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLMLNHNFFCM98CA,東埔段,1811.28,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLMLNHNFFCM78CA,鯉魚潭段,2546.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLMLNHNFFCM66CA,水頭段,5465.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNLNHNFFCM09CA,犁頭尖段,84.07,都市：住
RPQNMLMLNHNFFAM68CA,北大庄段,159.63,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPVNMLMLNHNFFAM56CA,嘉和段,111.00,都市：住
RPQNMLMLNHNFFAM68CA,北大庄段,3.23,非都市：一般農業區 ; 非都市編定：交通用地
RPUNMLMLNHNFFAM09CA,內興段,11.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMLNHNFFAM09CA,內興段,16.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMLNHNFFAM09CA,內興段,143.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLKOHNFFBM68CA,日新段,1955.00,都市：工
RPQNMLMLNHNFFBM78CA,新屋段,3.01,都市：住
RPSNMLMLNHNFFDM56CA,桂南段,6748.85,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLOLNHNFFDM86CA,新初鄉段,485.40,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMLNHNFFCM88CA,埔里段信義小段,78.00,都市：住
RPSNMLSLNHNFFCM07CA,水長流段,90.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXNMLKMNHNFFCM86CA,北山坑段,2239.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLKMNHNFFCM86CA,北山坑段,2198.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTOMLRJOHNFFCM07CA,水長流段,5127.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLMLNHNFFEM56CA,山腳段,2199.27,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNLNHNFFEM56CA,柴橋頭段北勢坑小段,201.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOLNHNFFAM98DA,三塊厝段,7.00,都市：其他
RPPNMLNLNHNFFDM98CA,桂林段,132.43,都市：住
RPVNMLMLNHNFFCM76CA,水源段,85.88,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOJOHNFFDM86CA,仁德段,76.91,都市：住
RPSNMLSLNHNFFDM17CA,中州段,7.05,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLSLNHNFFDM17CA,中州段,120.52,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLSLNHNFFDM17CA,後埔子段水車小段,334.38,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSNMLSLNHNFFDM17CA,後埔子段水車小段,2.25,非都市：山坡地保育區 ; 非都市編定：水利用地
RPSNMLSLNHNFFDM17CA,後埔子段水車小段,1.44,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSNMLSLNHNFFDM17CA,後埔子段水車小段,7.67,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFDM78CA,延豐段,1618.70,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFDM78CA,延豐段,487.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFDM78CA,延豐段,672.96,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLLMNHNFFDM09CA,坪子頂段,100.93,非都市：山坡地保育區 ; 非都市編定：林業用地
RPRNMLLMNHNFFDM09CA,坪子頂段,1809.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQNMLOLNHNFFDM56CA,大鞍段,528.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLNLNHNFFDM09CA,後埔子段水車小段,1851.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOLNHNFFDM09CA,大鞍段,391.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOLNHNFFDM66CA,大鞍段,161.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPOMLQJOHNFFCM56CA,忠良段,74.49,都市：住
RPPOMLQJOHNFFCM56CA,忠良段,5.58,都市：其他
RPPNMLPKOHNFFEM66CA,郡坑段,319.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLKMNHNFFCM09CA,國姓段,200.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLSLNHNFFDM96CA,瑞山段,125.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLKMNHNFFCM66CA,北山坑段,1054.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLKMNHNFFCM66CA,北山坑段,20996.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,3752.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,1876.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,436.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,218.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,218.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,218.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,940.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,470.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,470.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,470.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,1876.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,1876.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFCM98CA,國姓段,5388.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
