鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
草屯鎮,房地(土地+建物),南投縣草屯鎮虎山路353巷1~30號,92.37,其他,,,1070521,土地3建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0820722,126.4,3,0,2,有,無,有,15000,119,,0.0,0,,RPRNMLMLNHNFFBM09CC
草屯鎮,房地(土地+建物),南投縣草屯鎮虎山路353巷1~30號,92.37,其他,,,1070521,土地3建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0820722,184.38,2,0,2,有,無,有,10000,54,,0.0,0,,RPSNMLMLNHNFFBM56CC
草屯鎮,土地,草屯段151~180地號,1729.0,農,,,1070515,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,85000,49,,0.0,0,,RPUNMLMLNHNFFBM76CC
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路一段301~330號,210.0,住,,,1070508,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住家用,見其他登記事項,0900704,125.67,3,2,2,有,無,無,33800,269,,0.0,0,,RPSNMLOLNHNFFBM86DC
草屯鎮,土地,草屯段751~780地號,107.0,商,,,1070503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,18000,168,,0.0,0,1.租賃期間自107年7月16日起至112年7月15日止2.含未登記建物1棟,RPUNMLOLNHNFFBM07DC
草屯鎮,房地(土地+建物),南投縣草屯鎮草溪路991~1020號,109.0,商,,,1070503,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,鋼筋混凝土加強磚造,0470101,113.13,0,0,0,無,無,無,18000,159,,0.0,0,1.租賃期間自107年7月16日起至112年7月15日止,RPVNMLOLNHNFFBM17DC
草屯鎮,房地(土地+建物),南投縣草屯鎮草溪路991~1020號,194.0,商,,,1070503,土地2建物1車位0,見其他登記事項,2,店面(店鋪),住家用,磚造,0480701,137.29,0,0,0,無,無,無,30000,219,,0.0,0,1.租賃期間自107年7月16日起至112年7月15日止2.含未登記建物1棟,RPWNMLOLNHNFFBM27DC
草屯鎮,房地(土地+建物),南投縣草屯鎮草溪路991~1020號,111.0,商,,,1070503,土地1建物1車位0,見其他登記事項,2,店面(店鋪),商業用,磚造,0470301,123.55,0,0,0,無,無,無,18000,146,,0.0,0,1.租賃期間自107年7月16日起至112年7月15日止,RPXNMLOLNHNFFBM37DC
草屯鎮,房地(土地+建物),南投縣草屯鎮民生二街31~60號,12.03,住,,,1070525,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830411,79.69,2,2,1,有,無,有,8800,110,,0.0,0,,RPWNMLTLNHNFFBM67CC
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路541~570號,86.4,住,,,1070519,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0941202,42.39,1,1,1,有,無,無,10000,236,,0.0,0,,RPXNMLTLNHNFFBM77CC
草屯鎮,土地,中興段1711~1740地號,333.0,住,,,1070523,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,30,,0.0,0,,RPOOMLTLNHNFFBM96CC
南投市,建物,南投縣南投市向上路192巷1~30號,161.28,住,,,1070529,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0790821,184.68,6,1,3,有,無,無,15000,81,,0.0,0,,RPRPMLTLNHNFFAM27CC
