編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLMLNHNFFBM09CC,25,126.40,住商用,鋼筋混凝土造,82年7月22日,四層,
RPSNMLOLNHNFFBM86DC,17,125.67,住家用,見其他登記事項,90年7月4日,一層,
RPXNMLOLNHNFFBM37DC,60,123.55,商業用,磚造,47年3月1日,二層,
RPWNMLOLNHNFFBM27DC,59,137.29,住家用,磚造,48年7月1日,二層,
RPVNMLOLNHNFFBM17DC,60,113.13,住家用,鋼筋混凝土加強磚造,47年1月1日,二層,
RPWNMLTLNHNFFBM67CC,24,55.51,住家用,鋼筋混凝土造,83年4月11日,八層,
RPWNMLTLNHNFFBM67CC,24,6.22,住家用,鋼筋混凝土造,83年4月11日,八層,
RPWNMLTLNHNFFBM67CC,24,17.96,見其他登記事項,鋼筋混凝土造,83年4月11日,八層,
RPSNMLMLNHNFFBM56CC,25,184.38,住商用,鋼筋混凝土造,82年7月22日,四層,
RPXNMLTLNHNFFBM77CC,12,42.39,住商用,鋼筋混凝土造,94年12月2日,三層,
RPRPMLTLNHNFFAM27CC,28,184.68,住家用,鋼筋混凝土造,79年8月21日,三層,
