編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUNMLMLNHNFFBM76CC,草屯段,935.00,都市：農
RPUNMLMLNHNFFBM76CC,草屯段,783.00,都市：其他
RPUNMLMLNHNFFBM76CC,草屯段,11.00,都市：其他
RPRNMLMLNHNFFBM09CC,府西段,10.13,都市：其他
RPRNMLMLNHNFFBM09CC,府西段,14.66,都市：其他
RPRNMLMLNHNFFBM09CC,府西段,67.58,都市：其他
RPUNMLOLNHNFFBM07DC,草屯段,107.00,都市：商
RPSNMLOLNHNFFBM86DC,中興段,210.00,都市：住
RPXNMLOLNHNFFBM37DC,草屯段,111.00,都市：商
RPWNMLOLNHNFFBM27DC,草屯段,102.00,都市：商
RPWNMLOLNHNFFBM27DC,草屯段,92.00,都市：商
RPVNMLOLNHNFFBM17DC,草屯段,109.00,都市：商
RPWNMLTLNHNFFBM67CC,中興段,12.03,都市：住
RPSNMLMLNHNFFBM56CC,府西段,67.58,都市：其他
RPSNMLMLNHNFFBM56CC,府西段,14.66,都市：其他
RPSNMLMLNHNFFBM56CC,府西段,10.13,都市：其他
RPXNMLTLNHNFFBM77CC,新富功段,86.40,都市：住
RPRPMLTLNHNFFAM27CC,光大段,161.28,都市：住
RPOOMLTLNHNFFBM96CC,中興段,90.00,都市：住
RPOOMLTLNHNFFBM96CC,中興段,90.00,都市：住
RPOOMLTLNHNFFBM96CC,中興段,153.00,都市：住
