鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
彰化市,土地,新快官段901~930地號,1431.63,,鄉村區,乙種建築用地,1070501,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40280000,28136,,0.0,0,,RPXNMLLLNHNFFAN76CA
彰化市,房地(土地+建物),彰化縣彰化市中山路一段318巷1~30號,82.33,住,,,1070501,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970710,166.19,3,2,4,有,無,8600000,51748,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLLLNHNFFAN58CA
彰化市,房地(土地+建物),彰化縣彰化市泰和路二段359巷31~60號,74.7,住,,,1070423,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680714,86.32,5,3,3,有,無,2400000,27804,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLMLNHNFFAN86CA
花壇鄉,土地,北白沙坑段1171~1200地號,2390.23,,特定農業區,農牧用地,1070504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16630000,6957,,0.0,0,,RPPOMLMLNHNFFAN78CA
彰化市,房地(土地+建物),彰化縣彰化市中央路181~210號,4.14,住,,,1070509,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810711,48.19,1,1,1,有,有,1500000,31127,,0.0,0,,RPSNMLNLNHNFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化市中山路二段624巷1~30號,27.94,住,,,1070402,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0701229,68.76,3,2,2,有,無,3980000,57882,,0.0,0,含增建或未登記建物。,RPRNMLOLNHNFFAN09CA
彰化市,土地,彰化段西門小段391~420地號,80.0,商,,,1070507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5687000,71088,,0.0,0,,RPTNMLOLNHNFFAN66CA
彰化市,房地(土地+建物),彰化縣彰化市中正路二段170巷1~30號,74.0,商,,,1070507,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0561101,57.77,0,0,0,無,無,5260475,91059,,0.0,0,,RPUNMLOLNHNFFAN76CA
彰化市,房地(土地+建物)+車位,彰化縣彰化市南興里南興街121巷25弄31~60號,58.0,住,,,1070423,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051202,193.58,5,2,5,有,無,12600000,65089,一樓平面,0.0,0,,RPVNMLOLNHNFFAN86CA
彰化市,房地(土地+建物)+車位,彰化縣彰化市三民路91~120號,7.9,商,,,1070419,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901109,103.33,1,2,1,有,有,4800000,46453,坡道平面,0.0,0,,RPQNMLPLNHNFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化市中正路二段151~180號,4.12,商,,,1070412,土地3建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0701231,39.93,3,2,2,有,無,1150000,28800,,0.0,0,,RPQPMLPLNHNFFAN66CA
彰化市,房地(土地+建物),彰化縣彰化市平和七街1~30號,133.5,住,,,1070403,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041110,338.16,6,2,6,有,無,21200000,62692,,0.0,0,,RPTOMLTLNHNFFAN27CA
彰化市,土地,福山段31~60地號,540.26,,山坡地保育區,農牧用地,1070510,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,1666,,0.0,0,,RPQNMLLKOHNFFAN68CA
花壇鄉,土地,南口段211~240地號,79.36,農,,,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5150184,64896,,0.0,0,,RPSNMLOKOHNFFAN56CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉泉厝路91~120號,144.0,農,,,1070502,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0720916,108.0,3,1,2,有,無,1080000,10000,,0.0,0,,RPPNMLPLNHNFFBN09CA
和美鎮,土地,新發段451~480地號,58.54,住,,,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2034000,34745,,0.0,0,,RPQNMLPLNHNFFBN56CA
伸港鄉,土地,伸股段181~210地號,97.48,住,,,1070306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4785000,49087,,0.0,0,,RPPNMLLJOHNFFBN58CA
