編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLMLNHNFFAN86CA,39,86.32,住家用,加強磚造,68年7月14日,二層,一層 二層
RPQPMLPLNHNFFAN66CA,36,34.71,見其他登記事項,鋼筋混凝土造,70年12月31日,十一層,七層
RPQPMLPLNHNFFAN66CA,36,5.22,見其他登記事項,鋼筋混凝土造,70年12月31日,十一層,
RPQNMLPLNHNFFAN09CA,16,53.72,住家用,鋼筋混凝土造,90年11月9日,十四層,十四層
RPQNMLPLNHNFFAN09CA,16,.07,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPQNMLPLNHNFFAN09CA,16,8.57,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPQNMLPLNHNFFAN09CA,16,18.60,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPQNMLPLNHNFFAN09CA,16,.01,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPQNMLPLNHNFFAN09CA,16,22.36,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPSNMLNLNHNFFAN09CA,26,36.92,見其他登記事項,鋼筋混凝土造,81年7月11日,十六層,九層
RPSNMLNLNHNFFAN09CA,26,4.59,見其他登記事項,鋼筋混凝土造,81年7月11日,十六層,
RPSNMLNLNHNFFAN09CA,26,6.68,見其他登記事項,鋼筋混凝土造,81年7月11日,十六層,
RPUNMLOLNHNFFAN76CA,51,57.77,住家用,加強磚造,56年11月1日,一層,一層
RPRNMLOLNHNFFAN09CA,36,65.18,商業用,鋼筋混凝土造,70年12月29日,五層,一層
RPRNMLOLNHNFFAN09CA,36,3.58,見其他登記事項,鋼筋混凝土造,70年12月29日,五層,
RPVNMLOLNHNFFAN86CA,1,193.58,見其他登記事項,鋼筋混凝土造,105年12月2日,四層,一層 二層 三層 四層 騎樓
RPOOMLLLNHNFFAN58CA,10,166.19,見其他登記事項,鋼筋混凝土造,97年7月10日,四層,一層 二層 三層 四層
RPPNMLPLNHNFFBN09CA,35,108.00,見其他登記事項,鋼筋混凝土造,72年9月16日,二層,一層 二層 騎樓
RPTNMLOJOHNFFBN66CA,4,312.20,見其他登記事項,鋼筋混凝土造,103年6月10日,四層,一層 二層 三層 四層
RPPOMLMLNHNFFDN09CA,42,56.37,住商用,鋼筋混凝土加強磚造,64年12月4日,二層,一層 二層 騎樓
RPXNMLMLNHNFFDN17CA,44,61.23,住家用,磚造,63年3月15日,一層,一層
RPSNMLOKOHNFFBN66CA,31,204.80,住工用,加強磚造,76年5月22日,二層,一層 二層
RPQNMLLJOHNFFBN68CA,,173.76,見其他登記事項,鋼筋混凝土造,107年2月22日,三層,一層 二層 三層 見其他登記事項
