編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPOMLMLNHNFFAN78CA,北白沙坑段,2390.23,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLMLNHNFFAN86CA,金馬段,74.70,都市：住
RPTNMLOLNHNFFAN66CA,彰化段西門小段,80.00,都市：商
RPQPMLPLNHNFFAN66CA,中華段,1.19,都市：商
RPQPMLPLNHNFFAN66CA,中華段,1.22,都市：商
RPQPMLPLNHNFFAN66CA,中華段,1.72,都市：商
RPXNMLLLNHNFFAN76CA,新快官段,1176.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLLLNHNFFAN76CA,新快官段,36.19,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLLLNHNFFAN76CA,新快官段,10.81,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLLLNHNFFAN76CA,新快官段,73.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLLLNHNFFAN76CA,新快官段,124.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLLLNHNFFAN76CA,新快官段,9.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPLNHNFFAN09CA,三民段,7.90,都市：商
RPSNMLNLNHNFFAN09CA,西門口段,4.14,都市：住
RPUNMLOLNHNFFAN76CA,彰化段西門小段,74.00,都市：商
RPRNMLOLNHNFFAN09CA,南郭段南郭小段,27.72,都市：住
RPRNMLOLNHNFFAN09CA,南郭段南郭小段,.12,都市：其他
RPRNMLOLNHNFFAN09CA,南郭段南郭小段,.10,都市：其他
RPQNMLPLNHNFFBN56CA,新發段,58.54,都市：住
RPVNMLOLNHNFFAN86CA,南興段,58.00,都市：住
RPOOMLLLNHNFFAN58CA,延和段,23.67,都市：住
RPOOMLLLNHNFFAN58CA,延和段,9.00,都市：住
RPOOMLLLNHNFFAN58CA,延和段,45.00,都市：住
RPOOMLLLNHNFFAN58CA,延和段,4.67,都市：住
RPSNMLNKOHNFFBN56CA,嘉慶段,239.79,都市：農
RPSNMLNKOHNFFBN56CA,嘉慶段,6.50,都市：農
RPSNMLNKOHNFFBN56CA,嘉慶段,28.87,都市：農
RPVNMLPKOHNFFBN07CA,中興段,459.00,都市：農
RPPNMLPLNHNFFBN09CA,伸榮段,144.00,都市：農
RPSNMLOKOHNFFAN56CA,南口段,79.36,都市：農
RPPNMLLJOHNFFBN58CA,伸股段,97.48,都市：住
RPQOMLMLNHNFFDN56CA,溝皂段,140.06,都市：住
RPTNMLOJOHNFFBN66CA,和中段,1.45,都市：住
RPTNMLOJOHNFFBN66CA,和中段,.80,都市：住
RPTNMLOJOHNFFBN66CA,和中段,6.25,都市：住
RPTNMLOJOHNFFBN66CA,和中段,12.71,都市：住
RPTNMLOJOHNFFBN66CA,和中段,95.00,都市：住
RPTNMLOJOHNFFBN66CA,和中段,1.80,都市：住
RPPOMLMLNHNFFDN09CA,村上段,10.62,非都市：特定農業區 ; 非都市編定：交通用地
RPPOMLMLNHNFFDN09CA,村上段,57.10,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLMLNHNFFDN17CA,溝皂段,94.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNLNHNFFCN98CA,管厝段,88.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLOKOHNFFBN66CA,福安段,979.35,非都市：特定農業區 ; 非都市編定：農牧用地
