鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
新竹市,房地(土地+建物),新竹市新竹市勝利路301~330號,6.06,商,,,1070414,土地1建物1車位0,一層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950713,23.3,1,1,1,有,無,1400000,60086,,0.0,0,,RPQOMLMLNHNFFAO98CA
新竹市,土地,南門段二小段391~420地號,11.2,商,,,1070418,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2422000,216250,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLMLNHNFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市新源街121~150號,29.33,住,,,1070320,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870410,141.73000000000002,3,2,2,有,有,7800000,55034,,0.0,0,,RPUOMLMLNHNFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市東大路二段217巷31~60號,18.23,住,,,1070510,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,,59.64,3,2,2,有,無,2250000,37726,,0.0,0,親友間交易。,RPOPMLMLNHNFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市新莊街185巷31~60號,10.16,住,,,1070424,土地1建物1車位1,七層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0961228,66.58,1,1,1,有,有,5000000,75098,坡道平面,0.0,0,,RPTNMLNLNHNFFAO66CA
新竹市,土地,自由段721~750地號,30.0,其他,,,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,13333,,0.0,0,(包含)公共設施保留地之交易。,RPWNMLNLNHNFFAO96CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路271~300號,50.69,住,,,1070312,土地1建物1車位3,十一層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,387.18,4,2,3,有,有,19780000,60262,坡道平面,103.75,2700000,車位總價中無法拆分個別車位價格:車位優惠價,RPWPMLNLNHNFFAO17CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路271~300號,49.46,住,,,1070222,土地1建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,346.84000000000003,4,2,3,有,有,20050000,61135,坡道平面,63.04,2700000,,RPXPMLNLNHNFFAO27CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路271~300號,37.09,住,,,1070403,土地1建物1車位3,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,303.76,3,2,2,有,有,16000000,65776,坡道平面,101.56,2700000,車位總價中無法拆分個別車位價格:車位優惠價:權利人為2人,RPOQMLNLNHNFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路271~300號,42.04,住,,,1061221,土地1建物1車位2,十一層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,300.6,4,2,3,有,有,17000000,61605,坡道平面,65.23,2500000,,RPROMLPLNHNFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路92巷31~60號,33.98,住,,,1070403,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041005,223.94,4,2,2,有,有,17330000,77387,升降平面,0.0,0,,RPUPMLPLNHNFFAO17CA
新竹市,房地(土地+建物),新竹市新竹市中正路482巷31~60號,40.27,住,,,1070430,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.9,3,2,2,有,無,2234094,23056,,0.0,0,,RPOPMLPLNHNFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路1~30號,11.76,商,,,1070412,土地2建物1車位1,四層,九層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990810,44.47,2,2,1,有,有,7000000,157409,升降平面,31.54,0,,RPTQMLPLNHNFFAO17CA
新竹市,土地,金雅段271~300地號,170.85,,鄉村區,乙種建築用地,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18088000,105871,,0.0,0,,RPPPMLRLNHNFFAO86CA
新竹市,土地,東光段961~990地號,1600.87,工,,,1070416,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,162130985,101277,,0.0,0,,RPSNMLSLNHNFFAO07CA
新竹市,土地,東光段961~990地號,800.43,工,,,1070416,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,81065492,101277,,0.0,0,,RPTNMLSLNHNFFAO17CA
新竹市,土地,東光段931~960地號,800.43,工,,,1070416,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,81065492,101277,,0.0,0,,RPUNMLSLNHNFFAO27CA
新竹市,建物,新竹市新竹市公園路216巷1~30號,0.0,,,,1070416,土地0建物5車位0,一層，二層，地下層,二層,店面(店鋪),見使用執照,鋼筋混凝土造,0800806,1403.62,80,15,24,有,無,3696840,2634,,0.0,0,,RPVNMLSLNHNFFAO37CA
