編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLNLNHNFFAO66CA,10,35.28,見其他登記事項,鋼筋混凝土造,96年12月28日,十一層,七層
RPTNMLNLNHNFFAO66CA,10,7.87,見其他登記事項,鋼筋混凝土造,96年12月28日,十一層,
RPTNMLNLNHNFFAO66CA,10,6.90,見其他登記事項,鋼筋混凝土造,96年12月28日,十一層,
RPTNMLNLNHNFFAO66CA,10,.24,見其他登記事項,鋼筋混凝土造,96年12月28日,十一層,
RPTNMLNLNHNFFAO66CA,10,16.29,見其他登記事項,鋼筋混凝土造,96年12月28日,十一層,
RPQOMLMLNHNFFAO98CA,12,16.62,見其他登記事項,鋼筋混凝土造,95年7月13日,五層,一層
RPQOMLMLNHNFFAO98CA,12,6.68,見其他登記事項,鋼筋混凝土造,95年7月13日,五層,
RPOPMLMLNHNFFAO88CA,,59.64,見使用執照,鋼筋混凝土造,,五層,二層
RPUOMLMLNHNFFAO76CA,20,96.73,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,四層
RPUOMLMLNHNFFAO76CA,20,19.59,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUOMLMLNHNFFAO76CA,20,24.62,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUOMLMLNHNFFAO76CA,20,.32,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUOMLMLNHNFFAO76CA,20,.07,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUOMLMLNHNFFAO76CA,20,.09,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUOMLMLNHNFFAO76CA,20,.21,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUOMLMLNHNFFAO76CA,20,.05,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUOMLMLNHNFFAO76CA,20,.06,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPROMLPLNHNFFAO76CA,5,142.27,共有部分,鋼筋混凝土造,101年7月10日,二十五層,
RPROMLPLNHNFFAO76CA,5,158.33,見其他登記事項,鋼筋混凝土造,101年7月10日,二十四層,十一層
RPTQMLPLNHNFFAO17CA,8,44.47,辦公室,鋼筋混凝土造,99年8月10日,九層,四層
RPOPMLPLNHNFFAO56CA,,40.21,住家用,鋼筋混凝土造,,五層,一層
RPOPMLPLNHNFFAO56CA,,8.24,共有部分,鋼筋混凝土造,,五層,
RPOPMLPLNHNFFAO56CA,,8.24,共有部分,鋼筋混凝土造,,五層,
RPOPMLPLNHNFFAO56CA,,40.21,住家用,鋼筋混凝土造,,五層,一層
RPUPMLPLNHNFFAO17CA,2,126.53,見其他登記事項,鋼筋混凝土造,104年10月5日,九層,五層
RPUPMLPLNHNFFAO17CA,2,21.68,共有部分,鋼筋混凝土造,104年10月5日,九層,
RPUPMLPLNHNFFAO17CA,2,75.73,共有部分,鋼筋混凝土造,104年10月5日,九層,
RPOQMLNLNHNFFAO09CA,6,167.22,共有部分,鋼筋混凝土造,101年7月10日,二十五層,
RPOQMLNLNHNFFAO09CA,6,136.54,見其他登記事項,鋼筋混凝土造,101年7月10日,二十二層,十一層
RPXPMLNLNHNFFAO27CA,6,155.84,共有部分,鋼筋混凝土造,101年7月10日,二十五層,
RPXPMLNLNHNFFAO27CA,6,191.00,見其他登記事項,鋼筋混凝土造,101年7月10日,二十三層,十六層
RPWPMLNLNHNFFAO17CA,6,196.55,共有部分,鋼筋混凝土造,101年7月10日,二十五層,
RPWPMLNLNHNFFAO17CA,6,190.63,見其他登記事項,鋼筋混凝土造,101年7月10日,二十三層,十一層
RPVNMLSLNHNFFAO37CA,23,374.50,見其他登記事項,見其他登記事項,84年6月14日,一層,
RPVNMLSLNHNFFAO37CA,27,381.41,見使用執照,鋼筋混凝土造,80年8月6日,二層,
RPVNMLSLNHNFFAO37CA,27,265.25,見使用執照,鋼筋混凝土造,80年8月6日,二層,
RPVNMLSLNHNFFAO37CA,107,238.20,商業用,見使用執照,0年1月1日,二層,
RPVNMLSLNHNFFAO37CA,,144.27,見其他登記事項,見其他登記事項,,一層,
RPTPMLSLNHNFFAO37CA,12,21.66,辦公室,鋼筋混凝土造,95年4月15日,八層,二層
RPTPMLSLNHNFFAO37CA,12,4.89,見其他登記事項,鋼筋混凝土造,95年4月15日,八層,
RPTPMLSLNHNFFAO37CA,12,6.02,見其他登記事項,鋼筋混凝土造,95年4月15日,八層,
RPXNMLKMNHNFFAO86CA,2,.04,見其他登記事項,鋼筋混凝土造,105年1月4日,十層,一層
RPXNMLKMNHNFFAO86CA,2,.01,共有部分,鋼筋混凝土造,105年1月4日,十層,
RPXNMLKMNHNFFAO86CA,2,39.80,共有部分,鋼筋混凝土造,105年1月4日,十二層,
RPWNMLKMNHNFFAO76CA,30,35.76,住家用,鋼筋混凝土造,77年2月11日,四層,二層
RPWNMLKMNHNFFAO76CA,30,35.76,住家用,鋼筋混凝土造,77年2月11日,四層,三層
RPWNMLKMNHNFFAO76CA,30,35.76,住家用,鋼筋混凝土造,77年2月11日,四層,四層
RPWNMLKMNHNFFAO76CA,30,7.83,見其他登記事項,鋼筋混凝土造,77年2月11日,四層,地下層
RPXOMLKMNHNFFAO96CA,23,81.43,住家用,鋼筋混凝土造,83年11月28日,七層,四層
RPXOMLKMNHNFFAO96CA,23,10.98,共有部分,鋼筋混凝土造,83年11月28日,七層,
RPXOMLKMNHNFFAO96CA,23,6.72,共有部分,鋼筋混凝土造,83年11月28日,七層,
RPRNMLSLNHNFFAO07DA,34,157.28,住家用,加強磚造,73年6月30日,二層,一層 二層 騎樓
RPRNMLSLNHNFFAO07DA,33,266.92,住家用,加強磚造,74年9月12日,二層,一層 二層 騎樓
RPQNMLNLNHNFFAO56EA,24,81.24,住家用,鋼筋混凝土造,83年3月1日,五層,四層
RPQNMLNLNHNFFAO56EA,24,11.86,共有部分,鋼筋混凝土造,83年3月1日,五層,
RPQNMLNLNHNFFAO56EA,24,4.06,,鋼筋混凝土造,83年3月1日,七層,
RPTNMLMJOHNFFAO09CA,22,65.50,住家用,鋼筋混凝土造,85年5月13日,六層,四層
RPTNMLMJOHNFFAO09CA,22,18.80,共有部分,鋼筋混凝土造,85年5月13日,六層,
