編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPWNMLNLNHNFFAO96CA,自由段,30.00,都市：其他
RPTNMLNLNHNFFAO66CA,長春段,10.16,都市：住
RPTOMLMLNHNFFAO66CA,南門段二小段,10.00,都市：商
RPTOMLMLNHNFFAO66CA,南門段二小段,1.20,都市：商
RPQOMLMLNHNFFAO98CA,南門段三小段,6.06,都市：商
RPOPMLMLNHNFFAO88CA,北門段,18.23,都市：住
RPUOMLMLNHNFFAO76CA,東明段,29.33,都市：住
RPPPMLRLNHNFFAO86CA,金雅段,170.85,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLPLNHNFFAO76CA,光武段,42.04,都市：住
RPTQMLPLNHNFFAO17CA,復中段,4.98,都市：住
RPTQMLPLNHNFFAO17CA,復中段,6.78,都市：商
RPOPMLPLNHNFFAO56CA,福林段,2.14,都市：住
RPOPMLPLNHNFFAO56CA,福林段,.15,都市：其他
RPOPMLPLNHNFFAO56CA,福林段,.15,都市：其他
RPOPMLPLNHNFFAO56CA,福林段,12.06,都市：住
RPOPMLPLNHNFFAO56CA,福林段,12.06,都市：住
RPOPMLPLNHNFFAO56CA,福林段,5.80,都市：其他
RPOPMLPLNHNFFAO56CA,福林段,5.80,都市：其他
RPOPMLPLNHNFFAO56CA,福林段,2.14,都市：住
RPUPMLPLNHNFFAO17CA,光華段,33.98,都市：住
RPOQMLNLNHNFFAO09CA,光武段,37.09,都市：住
RPXPMLNLNHNFFAO27CA,光武段,49.46,都市：住
RPWPMLNLNHNFFAO17CA,光武段,50.69,都市：住
RPUNMLSLNHNFFAO27CA,東光段,1.25,都市：商
RPUNMLSLNHNFFAO27CA,東光段,131.74,都市：商
RPUNMLSLNHNFFAO27CA,東光段,1.83,都市：商
RPUNMLSLNHNFFAO27CA,東光段,474.36,都市：工
RPUNMLSLNHNFFAO27CA,東光段,92.84,都市：工
RPUNMLSLNHNFFAO27CA,東光段,85.03,都市：工
RPUNMLSLNHNFFAO27CA,東光段,13.38,都市：商
RPSNMLSLNHNFFAO07CA,東光段,2.49,都市：商
RPSNMLSLNHNFFAO07CA,東光段,263.49,都市：商
RPSNMLSLNHNFFAO07CA,東光段,3.67,都市：商
RPSNMLSLNHNFFAO07CA,東光段,948.71,都市：工
RPSNMLSLNHNFFAO07CA,東光段,185.68,都市：工
RPSNMLSLNHNFFAO07CA,東光段,170.06,都市：工
RPSNMLSLNHNFFAO07CA,東光段,26.77,都市：商
RPOOMLKMNHNFFAO68CA,長春段,14.58,都市：住
RPOOMLKMNHNFFAO68CA,長春段,14.58,都市：住
RPOOMLKMNHNFFAO68CA,長春段,14.58,都市：住
RPOOMLKMNHNFFAO68CA,長春段,.01,都市：住
RPTNMLSLNHNFFAO17CA,東光段,1.25,都市：商
RPTNMLSLNHNFFAO17CA,東光段,131.74,都市：商
RPTNMLSLNHNFFAO17CA,東光段,1.83,都市：商
RPTNMLSLNHNFFAO17CA,東光段,474.36,都市：工
RPTNMLSLNHNFFAO17CA,東光段,92.84,都市：工
RPTNMLSLNHNFFAO17CA,東光段,85.03,都市：工
RPTNMLSLNHNFFAO17CA,東光段,13.38,都市：商
RPTPMLSLNHNFFAO37CA,民主段一小段,5.03,都市：商
RPXNMLKMNHNFFAO86CA,東明段,1.44,都市：其他
RPWNMLKMNHNFFAO76CA,長春段,14.58,都市：住
RPWNMLKMNHNFFAO76CA,長春段,14.58,都市：住
RPWNMLKMNHNFFAO76CA,長春段,14.58,都市：住
RPWNMLKMNHNFFAO76CA,長春段,.01,都市：住
RPXOMLKMNHNFFAO96CA,南寮段,18.31,都市：住
RPOOMLNLNHNFFAO98DA,大庄段,827.02,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLSLNHNFFAO07DA,五福段,31.85,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLSLNHNFFAO07DA,五福段,146.42,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLSLNHNFFAO07DA,五福段,113.68,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLKMNHNFFAO09EA,士林段,171.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLNHNFFAO56EA,香中段,22.09,都市：住
RPTNMLMJOHNFFAO09CA,東橋段,9.92,都市：住
RPTNMLMJOHNFFAO09CA,東橋段,5.17,都市：住
RPSNMLMJOHNFFAO98CA,大庄段,17.09,都市：住
RPUPMLOJOHNFFAO96CA,光華段,45.78,都市：住
RPQOMLSJOHNFFAO86CA,新港段,80.24,都市：住
RPQPMLLMNHNFFAO09CA,國道段,11.36,都市：商
RPVOMLTKOHNFFAO57CA,崙子段,21.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLTKOHNFFAO57CA,崙子段,269.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLMJOHNFFAO56CA,科學段一小段,105.41,都市：住
RPQOMLSKOHNFFAO96CA,東香段,2.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLSKOHNFFAO96CA,東香段,34.81,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLSKOHNFFAO96CA,東香段,80.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLSKOHNFFAO96CA,東香段,1.17,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLSKOHNFFAO96CA,東香段,.07,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLSKOHNFFAO96CA,東香段,.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPSMLLJOHNFFAO09CA,武陵段,30.40,都市：住
RPUNMLMJOHNFFAO56CA,自由段,22.97,都市：住
RPVNMLMJOHNFFAO66CA,國道段,12.94,都市：商
RPOOMLQJOHNFFAO66EA,麗園段,126.76,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLMJOHNFFAO78CA,國道段,10.88,都市：住
RPOOMLTJOHNFFAO76CA,民富段,.28,都市：商
RPOOMLTJOHNFFAO76CA,民富段,.36,都市：其他
RPOOMLTJOHNFFAO76CA,民富段,.48,都市：住
RPOOMLTJOHNFFAO76CA,民富段,6.70,都市：商
RPPOMLPJOHNFFAO09CA,光復段,53.39,都市：住
RPQNMLTJOHNFFAO86CA,光鎮段,8.57,都市：住
RPQNMLTJOHNFFAO86CA,光鎮段,101.59,都市：住
RPQNMLTJOHNFFAO86CA,光鎮段,4.47,都市：其他
RPPOMLLJOHNFFAO68CA,光復段,53.39,都市：住
RPWOMLSLNHNFFAO57CA,北門段,13.97,都市：住
RPWOMLSLNHNFFAO57CA,北門段,16.08,都市：住
RPVNMLLKOHNFFAO66CA,光復段,53.01,都市：住
RPOPMLLJOHNFFAO68CA,光復段,63.69,都市：住
RPPOMLOJOHNFFAO98CA,榮光段三小段,17.00,都市：商
RPPOMLOJOHNFFAO98CA,榮光段三小段,1.00,都市：商
RPPOMLOJOHNFFAO98CA,榮光段三小段,109.00,都市：商
RPQPMLRLNHNFFAO96CA,中山段三小段,59.00,都市：商
RPQPMLRLNHNFFAO96CA,中山段三小段,15.00,都市：商
RPPPMLQJOHNFFAO66CA,光復段,63.69,都市：住
RPVPMLQJOHNFFAO27CA,國道段,22.74,都市：住
RPOPMLQJOHNFFAO56CA,中華段,19.64,都市：商
RPVOMLPLNHNFFAO17CA,崙子段,.21,都市：其他
RPVOMLPLNHNFFAO17CA,崙子段,43.00,都市：住
RPUPMLSLNHNFFAO47CA,唐高段,95.00,都市：住
RPXNMLNLNHNFFAO07CA,復中段,9.85,都市：商
RPXNMLNLNHNFFAO07CA,復中段,.72,都市：住
RPQNMLQLNHNFFAO66CA,中央段,9.15,都市：住
RPTOMLTLNHNFFAO37CA,東明段,24.85,都市：住
RPUOMLTLNHNFFAO47CA,民主段,22.60,都市：住
RPUOMLTLNHNFFAO47CA,民主段,11.00,都市：住
RPOPMLNLNHNFFAO98CA,中雅段,20.22,都市：商
RPOPMLNLNHNFFAO98CA,崙子段,.43,都市：商
RPVNMLKMNHNFFAO66CA,大湖段,111.32,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPVNMLKMNHNFFAO66CA,大湖段,2.23,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPVNMLKMNHNFFAO66CA,大湖段,.51,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPVNMLKMNHNFFAO66CA,大湖段,7.30,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPVNMLKMNHNFFAO66CA,大湖段,7.48,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPVNMLKMNHNFFAO66CA,香村段,21.65,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLKMNHNFFAO66CA,香村段,.19,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVPMLNLNHNFFAO07CA,南湖段,6.38,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
