鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
新竹市,房地(土地+建物),新竹市新竹市東大路三段403巷30弄61~90號,77.68,住,,,1070428,土地2建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1021202,242.0,4,3,4,有,無,無,25000,103,,0.0,0,,RPXNMLLLNHNFFAO07CC
新竹市,建物,新竹市新竹市八德路151~180號,0.0,其他,,,1070424,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0971126,140.08,4,2,2,有,有,有,41459,296,,0.0,0,租金含稅,RPPOMLLLNHNFFAO98CC
新竹市,建物,新竹市新竹市東門街34巷1~30號,0.0,商,,,1070315,土地0建物1車位1,十六層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,181.53,3,2,2,有,有,有,50000,275,坡道平面,27.42,0,,RPXOMLLLNHNFFAO17CC
新竹市,土地,光復段361~390地號,1246.0,工,,,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,56537,45,,0.0,0,,RPUNMLMLNHNFFAO86CC
新竹市,建物,新竹市新竹市明湖路697巷1~30號,0.0,其他,,,1070425,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0770907,182.08,4,2,2,有,有,有,28000,154,,0.0,0,,RPTPMLMLNHNFFAO96CC
新竹市,建物,新竹市新竹市少年街31~60號,0.0,商,,,1070430,土地0建物1車位0,七層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830131,53.72,1,1,1,有,有,有,9000,168,,0.0,0,,RPTNMLMLNHNFFAO96EC
新竹市,房地(土地+建物),新竹市新竹市湳雅街211~240號,0.0,住,,,1070301,土地1建物2車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0841009,217.54,0,0,0,無,無,無,35000,161,,0.0,0,,RPWNMLSLNHNFFAO87EC
新竹市,建物,新竹市新竹市東區公道五路三段1~30號,0.0,商,,,1070514,土地0建物1車位3,五層,14,辦公商業大樓,見其他登記事項,見其他登記事項,1060516,355.23,0,0,0,無,有,無,141579,399,坡道平面,0.0,9000,,RPROMLSLNHNFFAO27CC
新竹市,建物,新竹市新竹市警光路1~30號,0.0,住,,,1070506,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820415,86.59,3,2,2,有,有,有,14000,162,,0.0,0,,RPRNMLLMNHNFFAO56CC
新竹市,房地(土地+建物)+車位,新竹市新竹市新竹市東區中華路二段181~210號,6.26,商,,,1070504,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020615,201.26999999999998,3,2,2,有,有,有,36200,180,坡道平面,27.74,0,,RPWNMLLMNHNFFAO07CC
