編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLLNHNFFAO07CC,4,242.00,見其他登記事項,鋼筋混凝土造,102年12月2日,五層,
RPXOMLLLNHNFFAO17CC,5,104.83,見其他登記事項,鋼筋混凝土造,101年10月15日,二十五層,
RPXOMLLLNHNFFAO17CC,5,48.78,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPXOMLLLNHNFFAO17CC,5,27.92,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPPOMLLLNHNFFAO98CC,9,101.09,辦公室,鋼筋混凝土造,97年11月26日,十四層,
RPPOMLLLNHNFFAO98CC,9,15.74,見其他登記事項,鋼筋混凝土造,97年11月26日,十四層,
RPPOMLLLNHNFFAO98CC,9,23.25,見其他登記事項,鋼筋混凝土造,97年11月26日,十四層,
RPTPMLMLNHNFFAO96CC,30,182.08,住家用,鋼筋混凝土造,77年9月7日,二層,
RPWNMLSLNHNFFAO87EC,22,71.37,住家用,鋼筋混凝土造,84年10月9日,七層,
RPWNMLSLNHNFFAO87EC,22,71.10,住家用,鋼筋混凝土造,84年10月9日,七層,
RPWNMLSLNHNFFAO87EC,22,37.37,共有部分,鋼筋混凝土造,84年10月9日,七層,
RPWNMLSLNHNFFAO87EC,22,37.70,共有部分,鋼筋混凝土造,84年10月9日,七層,
RPRNMLLMNHNFFAO56CC,25,70.41,住家用,鋼筋混凝土造,82年4月15日,七層,
RPRNMLLMNHNFFAO56CC,25,4.55,見使用執照,鋼筋混凝土造,82年4月15日,七層,
RPRNMLLMNHNFFAO56CC,25,11.63,共有部分,鋼筋混凝土造,82年4月15日,七層,
RPROMLSLNHNFFAO27CC,1,355.23,見其他登記事項,見其他登記事項,106年5月16日,十四層,
RPTNMLMLNHNFFAO96EC,24,53.72,住家用,鋼筋混凝土造,83年1月31日,九層,
RPWNMLLMNHNFFAO07CC,5,125.69,見其他登記事項,鋼筋混凝土造,102年6月15日,十八層,
RPWNMLLMNHNFFAO07CC,5,49.94,共有部分,鋼筋混凝土造,102年6月15日,十八層,
RPWNMLLMNHNFFAO07CC,5,25.64,共有部分,鋼筋混凝土造,102年6月15日,十八層,
