編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPXNMLLLNHNFFAO07CC,南寮段,62.47,都市：住
RPXNMLLLNHNFFAO07CC,南寮段,15.21,都市：住
RPUNMLMLNHNFFAO86CC,光復段,1246.00,都市：工
RPXOMLLLNHNFFAO17CC,榮光段一小段,.00,都市：商
RPPOMLLLNHNFFAO98CC,東光段,.00,都市：其他
RPTPMLMLNHNFFAO96CC,柴橋段,.00,都市：其他
RPWNMLSLNHNFFAO87EC,自由段,.00,都市：住
RPRNMLLMNHNFFAO56CC,成德段,.00,都市：住
RPRNMLLMNHNFFAO56CC,成德段,.00,都市：住
RPROMLSLNHNFFAO27CC,台肥段,.00,都市：商
RPTNMLMLNHNFFAO96EC,民富段,.00,都市：商
RPWNMLLMNHNFFAO07CC,東光段,6.26,都市：商
