鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
古坑鄉,房地(土地+建物),雲林縣古坑鄉文學路31~60號,88.0,住,,,1050328,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061006,167.36,5,2,4,有,無,5750000,34357,,0.0,0,,RPRNMLNLNHNFFAP56CA
斗六市,土地,八德段811~840地號,95.54,,鄉村區,乙種建築用地,1070426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,21980,,0.0,0,,RPQNMLOLNHNFFAP56CA
斗六市,房地(土地+建物),雲林縣斗六市福興路57巷1~30號,73.36,,一般農業區,甲種建築用地,1070506,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830120,136.4,3,2,3,有,無,2920000,21408,,0.0,0,,RPWNMLMLNHNFFAP96CA
斗六市,房地(土地+建物)+車位,雲林縣斗六市久安路158巷31~60號,32.19,,特定農業區,甲種建築用地,1070416,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840330,136.95,3,2,2,有,有,2500000,18255,坡道機械,0.0,0,,RPPOMLSLNHNFFAP96CA
古坑鄉,土地,西華段151~180地號,6635.0,住,,,1060618,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,86238920,12998,,0.0,0,,RPOOMLKMNHNFFAP78CA
斗六市,房地(土地+建物),雲林縣斗六市梅林路479巷1~30號,152.03,,一般農業區,甲種建築用地,1070401,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050707,208.78,4,2,3,有,無,6800000,32570,,0.0,0,,RPRNMLLMNHNFFAP09CA
斗六市,土地,崙仔段181~210地號,156.84,,鄉村區,乙種建築用地,1070501,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1939200,12364,,0.0,0,,RPUNMLOJOHNFFAP86CA
斗六市,土地,大潭段社口小段61~90地號,6.0,住,,,1070503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,165000,27500,,0.0,0,,RPVOMLQJOHNFFAP27CA
斗六市,土地,大潭段社口小段61~90地號,3.0,住,,,1070503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,82500,27500,,0.0,0,,RPWOMLQJOHNFFAP37CA
斗南鎮,土地,新安段1081~1110地號,210.55,,鄉村區,乙種建築用地,1070416,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,8549,,0.0,0,,RPPNMLNLNHNFFBP09CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮黎明二街31~60號,82.0,住,,,1070427,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0800620,156.89,4,1,3,有,無,4300000,27408,,0.0,0,,RPTNMLOJOHNFFBP86CA
二崙鄉,土地,新油車段1141~1170地號,67.84,,鄉村區,乙種建築用地,1070328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,574604,8470,,0.0,0,,RPWNMLSLNHNFFCP77CA
崙背鄉,土地,崩溝寮段1~30地號,105.92,,鄉村區,乙種建築用地,1070503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,296566,2800,,0.0,0,,RPRNMLLMNHNFFCP66CA
西螺鎮,土地,社西段811~840地號,3818.12,工,,,1070316,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60050000,15728,,0.0,0,,RPTNMLRJOHNFFCP27CA
虎尾鎮,土地,高南段31~60地號,1353.86,住,,,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40950000,30247,,0.0,0,,RPRNMLNLNHNFFDP86CA
虎尾鎮,土地,大屯段151~180地號,76.2,,特定農業區,水利用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,177372,2328,,0.0,0,,RPPNMLPLNHNFFDP86CA
虎尾鎮,土地,過溪子段811~840地號,5011.0,農,,,1070514,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8279000,1652,,0.0,0,,RPTNMLPLNHNFFDP27CA
北港鎮,房地(土地+建物),雲林縣北港鎮民樂路196巷61~90號,142.55,住,,,1070502,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1011022,182.87,4,2,4,有,無,9000000,49215,,0.0,0,,RPQNMLMLNHNFFEP76CA
口湖鄉,土地,新湖段781~810地號,8.0,商,,,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,18750,,0.0,0,商業區、合併使用,RPUNMLNKOHNFFEP27CA
水林鄉,土地,西井段1561~1590地號,612.5,,鄉村區,乙種建築用地,1070514,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,5714,,0.0,0,,RPTNMLTKOHNFFEP77CA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉中山路97巷121~150號,159.4,工,,,1070417,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0980508,195.71,3,3,3,有,無,6500000,33212,,0.0,0,,RPQNMLLMNHNFFFP86CA
麥寮鄉,土地,順天段241~270地號,226.72,,鄉村區,乙種建築用地,1070507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,822840,3629,,0.0,0,,RPPNMLNJOHNFFFP76CA
莿桐鄉,土地,大埔尾段3661~3690地號,1500.0,,特定農業區,農牧用地,1070502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,2800,,0.0,0,,RPSOMLLLNHNFFAP66DA
斗南鎮,土地,北銘段541~570地號,26047.0,工,,,1070329,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,401841910,15428,,0.0,0,,RPRNMLLLNHNFFBP56DA
斗南鎮,土地,北銘段541~570地號,1543.0,工,,,1070320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24271390,15730,,0.0,0,,RPSNMLLLNHNFFBP66DA
元長鄉,土地,下寮段601~630地號,1255.0,,特定農業區,農牧用地,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,797,,0.0,0,,RPRNMLPLNHNFFEP27DA
口湖鄉,土地,梧段241~270地號,17.0,,一般農業區,養殖用地,1070505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,3529,,0.0,0,,RPQNMLLJOHNFFEP66DA
斗六市,土地,溝子埧段瓦厝子小段331~360地號,260.0,,鄉村區,乙種建築用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1066000,4100,,0.0,0,1-3等親買賣,RPQNMLPLNHNFFAP86EA
斗六市,土地,溝子埧段瓦厝子小段1~30地號,403.33,,鄉村區,乙種建築用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1653653,4100,,0.0,0,1.1-3等親買賣2.權利人共3人,RPRNMLPLNHNFFAP96EA
斗六市,土地,溝子埧段瓦厝子小段1~30地號,45.67,,鄉村區,乙種建築用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,187206,4099,,0.0,0,1.1-3等親買賣2.權利人共3人,RPSNMLPLNHNFFAP07EA
斗六市,土地,溝子埧段瓦厝子小段1~30地號,45.67,,鄉村區,乙種建築用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,187206,4099,,0.0,0,1.1-3等親買賣2.權利人共3人,RPTNMLPLNHNFFAP17EA
斗六市,土地,溝子埧段瓦厝子小段1~30地號,403.33,,鄉村區,乙種建築用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1653653,4100,,0.0,0,1.1-3等親買賣2.權利人共3人,RPUNMLPLNHNFFAP27EA
古坑鄉,土地,東興段541~570地號,213.5,住,,,1061228,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6700000,31382,,0.0,0,,RPSNMLSLNHNFFAP37EA
麥寮鄉,土地,永吉段541~570地號,913.14,,一般農業區,農牧用地,1070503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,950000,1040,,0.0,0,,RPRNMLMLNHNFFFP07DA
麥寮鄉,土地,許厝寮段許厝寮小段241~270地號,1336.0,,一般農業區,養殖用地,1070509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1469600,1100,,0.0,0,,RPSNMLMLNHNFFFP17DA
東勢鄉,土地,新北段61~90地號,2928.14,,特定農業區,農牧用地,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2148962,734,,0.0,0,向政府機關承購之案件。,RPQNMLOLNHNFFFP27EA
東勢鄉,土地,新北段31~60地號,1068.24,,特定農業區,農牧用地,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,783981,734,,0.0,0,向政府機關承購之案件。,RPRNMLOLNHNFFFP37EA
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段574巷1弄31~60號,93.17,住,,,1070328,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0821221,211.37,3,2,3,有,無,5900000,27913,,0.0,0,,RPSNMLLKOHNFFBP76EA
二崙鄉,土地,大庄段631~660地號,182.0,,特定農業區,農牧用地,1070220,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,1099,,0.0,0,,RPQNMLSLNHNFFCP37EA
二崙鄉,土地,新庄子段大北園小段601~630地號,286.75,,特定農業區,農牧用地,1070517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,569999,1988,,0.0,0,,RPPNMLKMNHNFFCP56EA
口湖鄉,土地,口湖段871~900地號,6061.8,,一般農業區,農牧用地,1070515,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3940170,650,,0.0,0,此兩筆土地供太陽能使用,RPVNMLTLNHNFFEP08DA
斗南鎮,土地,田頭段重建小段271~300地號,2849.0,,特定農業區,農牧用地,1070504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5327500,1870,,0.0,0,,RPPNMLQJOHNFFBP76DA
元長鄉,房地(土地+建物),雲林縣元長鄉西?路61~90號,104.92,,鄉村區,乙種建築用地,1070508,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,0740912,60.06,4,2,2,有,無,400000,6660,,0.0,0,,RPRNMLNLNHNFFEP07DA
元長鄉,土地,東庄段241~270地號,573.99,,特定農業區,農牧用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3484,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLNLNHNFFEP17DA
元長鄉,土地,潭內段1411~1440地號,2784.0,,特定農業區,農牧用地,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2427648,872,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLNLNHNFFEP27DA
口湖鄉,土地,新湖段361~390地號,100.0,住,,,1070507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1130000,11300,,0.0,0,,RPQNMLOLNHNFFEP07DA
古坑鄉,土地,苦苓腳段1~30地號,1017.0,,,,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,508500,500,,0.0,0,親友、員工或其他特殊關係間之交易。依農業發展條例第16條第一項辦理。畸零地或有合併使用之交易。,RPSNMLNLNHNFFAP76DA
麥寮鄉,土地,施厝寮段1171~1200地號,1268.0,,一般農業區,農牧用地,1070511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,1735,,0.0,0,,RPQNMLSKOHNFFFP47CA
麥寮鄉,土地,成德段541~570地號,152.72,農,,,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1755555,11495,,0.0,0,,RPQNMLTKOHNFFFP57CA
