編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLSLNHNFFAP96CA,23,88.10,住家用,鋼筋混凝土造,84年3月30日,十五層,十三層
RPPOMLSLNHNFFAP96CA,23,14.41,共同部份,鋼筋混凝土造,84年3月30日,十二層,
RPPOMLSLNHNFFAP96CA,23,34.44,共同部份,鋼筋混凝土造,84年3月30日,十五層,
RPRNMLNLNHNFFAP56CA,2,167.36,住家用,鋼筋混凝土造,106年10月6日,三層,一層 二層 三層
RPQNMLMLNHNFFEP76CA,6,182.87,住家用,鋼筋混凝土造,101年10月22日,三層,一層 二層 三層
RPWNMLMLNHNFFAP96CA,24,2.47,住家用,鋼筋混凝土造,83年3月18日,四層,
RPWNMLMLNHNFFAP96CA,24,133.93,住家用,鋼筋混凝土造,83年1月20日,三層,一層 二層 三層 電梯樓梯間
RPRNMLLMNHNFFAP09CA,2,208.78,見其他登記事項,鋼筋混凝土造,105年7月7日,三層,一層 二層 三層 屋頂突出物
RPQNMLLMNHNFFFP86CA,9,195.71,見其他登記事項,見其他登記事項,98年5月8日,三層,一層 二層 三層
RPTNMLOJOHNFFBP86CA,27,156.89,住商用,鋼筋混凝土造,80年6月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPRNMLNLNHNFFEP07DA,33,60.06,住家用,加強磚造,74年9月12日,二層,一層 二層 騎樓
RPQNMLNKOHNFFFP96CA,,188.78,見其他登記事項,鋼筋混凝土造,107年3月15日,三層,一層 二層 三層
RPPNMLNKOHNFFFP86CA,,184.86,見其他登記事項,鋼筋混凝土造,107年3月15日,三層,一層 二層 三層
RPSNMLNKOHNFFFP17CA,,180.07,見其他登記事項,鋼筋混凝土造,107年3月15日,三層,一層 二層 三層
RPSNMLLKOHNFFBP76EA,24,183.34,住家用,鋼筋混凝土造,82年12月21日,四層,一層 二層 三層 四層
RPSNMLLKOHNFFBP76EA,24,28.03,共有部份,,82年12月21日,,
RPRNMLNKOHNFFFP07CA,,188.78,見其他登記事項,鋼筋混凝土造,107年3月15日,三層,一層 二層 三層
RPWNMLOLNHNFFFP67CA,28,26.33,住家用,加強磚造,79年2月30日,二層,一層 二層 騎樓
RPPNMLOKOHNFFCP66CA,1,201.09,住家用,鋼筋混凝土造,106年3月27日,三層,見其他登記事項
RPOOMLOJPHNFFDP76CA,23,103.92,住家用,鋼筋混凝土造,84年4月6日,十二層,十層
RPOOMLOJPHNFFDP76CA,23,12.49,共有部份,鋼筋混凝土造,84年4月6日,十二層,
RPOOMLOJPHNFFDP76CA,23,4.48,共有部份,鋼筋混凝土造,84年4月6日,十二層,
RPTNMLKMNHNFFAP56CA,24,110.63,住家用,鋼筋混凝土造,83年9月15日,六層,五層
