編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLNLNHNFFBP09CA,新安段,197.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNLNHNFFBP09CA,新安段,12.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLQJOHNFFAP27CA,大潭段社口小段,6.00,都市：住
RPWOMLQJOHNFFAP37CA,大潭段社口小段,3.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,854.00,都市：其他
RPOOMLKMNHNFFAP78CA,西華段,645.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,29.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,11.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,1081.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,752.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,29.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,480.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,1426.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,260.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,309.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,674.00,都市：住
RPOOMLKMNHNFFAP78CA,西華段,85.00,都市：住
RPWNMLSLNHNFFCP77CA,新油車段,67.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLLMNHNFFCP66CA,崩溝寮段,99.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLLMNHNFFCP66CA,崩溝寮段,6.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLSLNHNFFAP96CA,九老爺段,32.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLOLNHNFFAP56CA,八德段,95.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNLNHNFFAP56CA,東興段,88.00,都市：住
RPUNMLOJOHNFFAP86CA,崙仔段,27.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOJOHNFFAP86CA,崙仔段,3.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOJOHNFFAP86CA,崙仔段,107.94,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOJOHNFFAP86CA,崙仔段,17.74,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLNKOHNFFEP27CA,新湖段,8.00,都市：商
RPQNMLMLNHNFFEP76CA,新街段,27.55,都市：住
RPQNMLMLNHNFFEP76CA,新街段,115.00,都市：住
RPPNMLPLNHNFFDP86CA,大屯段,76.20,非都市：特定農業區 ; 非都市編定：水利用地
RPTNMLPLNHNFFDP27CA,過溪子段,2011.00,都市：農
RPTNMLPLNHNFFDP27CA,過溪子段,2791.00,都市：農
RPTNMLPLNHNFFDP27CA,過溪子段,180.00,都市：農
RPTNMLPLNHNFFDP27CA,過溪子段,29.00,都市：農
RPWNMLMLNHNFFAP96CA,榴中段,.81,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWNMLMLNHNFFAP96CA,榴中段,13.53,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWNMLMLNHNFFAP96CA,榴中段,59.02,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLNLNHNFFDP86CA,高南段,1353.86,都市：住
RPTNMLRJOHNFFCP27CA,社西段,7.47,都市：工
RPTNMLRJOHNFFCP27CA,社西段,867.91,都市：工
RPTNMLRJOHNFFCP27CA,社西段,1630.96,都市：工
RPTNMLRJOHNFFCP27CA,社西段,1129.08,都市：工
RPTNMLRJOHNFFCP27CA,社西段,182.70,都市：工
RPTNMLTKOHNFFEP77CA,西井段,185.50,非都市：特定農業區 ; 非都市編定：交通用地
RPTNMLTKOHNFFEP77CA,西井段,28.26,非都市：鄉村區 ; 非都市編定：交通用地
RPTNMLTKOHNFFEP77CA,西井段,1.58,非都市：鄉村區 ; 非都市編定：交通用地
RPTNMLTKOHNFFEP77CA,西井段,2.40,非都市：鄉村區 ; 非都市編定：交通用地
RPTNMLTKOHNFFEP77CA,西井段,374.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLTKOHNFFEP77CA,西井段,17.13,非都市：鄉村區 ; 非都市編定：交通用地
RPTNMLTKOHNFFEP77CA,西井段,2.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLLMNHNFFAP09CA,梅林東段,5.79,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLLMNHNFFAP09CA,梅林東段,116.15,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLLMNHNFFAP09CA,梅林東段,30.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLLNHNFFBP56DA,北銘段,14381.00,都市：工
RPRNMLLLNHNFFBP56DA,北銘段,10526.00,都市：工
RPRNMLLLNHNFFBP56DA,北銘段,1140.00,都市：其他
RPSNMLLLNHNFFBP66DA,北銘段,1543.00,都市：工
RPRNMLPLNHNFFEP27DA,下寮段,1255.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJOHNFFEP66DA,梧段,17.00,非都市：一般農業區 ; 非都市編定：養殖用地
RPSOMLLLNHNFFAP66DA,大埔尾段,1500.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLNJOHNFFFP76CA,順天段,190.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJOHNFFFP76CA,順天段,36.42,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLSLNHNFFAP37EA,東興段,40.50,都市：住
RPSNMLSLNHNFFAP37EA,東興段,86.00,都市：住
RPSNMLSLNHNFFAP37EA,東興段,87.00,都市：住
