鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
六腳鄉,土地,灣北段391~420地號,222.34,,鄉村區,乙種建築用地,1070301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,2249,,0.0,0,,RPUNMLLLNHNFFBQ86CA
朴子市,土地,溪口段61~90地號,1401.06,,特定農業區,農牧用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,430000,307,,0.0,0,,RPQNMLOLNHNFFBQ76CA
朴子市,房地(土地+建物),嘉義縣朴子市鴨母寮421巷31~60號,161.0,,特定農業區,甲種建築用地,1070501,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土加強磚造,0810120,272.16,3,2,2,有,無,4000000,14697,,0.0,0,,RPSNMLOLNHNFFBQ96CA
布袋鎮,房地(土地+建物),嘉義縣布袋鎮見龍里14鄰內田1~30號,83.51,住,,,1070501,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0900913,133.77,3,2,2,有,無,1300000,9718,,0.0,0,,RPPNMLQLNHNFFBQ86CA
新港鄉,土地,潭大段241~270地號,177.04,,特定農業區,甲種建築用地,1070201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800221,4520,,0.0,0,,RPQNMLNLNHNFFCQ76CA
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉東榮村24鄰文化路1~30號,33.21,住,,,1070501,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851220,180.07999999999998,3,2,2,有,有,5900000,32763,坡道平面,0.0,0,,RPQNMLOLNHNFFCQ86CA
大林鎮,土地,水頭段1021~1050地號,77.83,,鄉村區,乙種建築用地,1070401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,706200,9074,,0.0,0,,RPVNMLOLNHNFFCQ37CA
大林鎮,土地,大埔美段大美小段1~30地號,30224.0,,工業區,丁種建築用地,1070501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,342201213,11322,,0.0,0,,RPQNMLPLNHNFFCQ96CA
中埔鄉,土地,中興段241~270地號,4650.91,農,,,1070401,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25380000,5457,,0.0,0,,RPVNMLMLNHNFFDQ27CA
