編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLOLNHNFFBQ96CA,26,272.16,住家用,鋼筋混凝土加強磚造,81年1月20日,四層,一層 二層 三層 四層
RPPNMLQLNHNFFBQ86CA,17,133.77,住家用,鋼筋混凝土造,90年9月13日,三層,一層 二層 三層
RPQNMLOLNHNFFCQ86CA,21,142.51,見其他登記事項,鋼筋混凝土造,85年12月20日,十一層,五層
RPQNMLOLNHNFFCQ86CA,21,1.16,共有部份,鋼筋混凝土造,85年12月20日,十一層,
RPQNMLOLNHNFFCQ86CA,21,14.03,共有部份,鋼筋混凝土造,85年12月20日,十一層,
RPQNMLOLNHNFFCQ86CA,21,22.39,共有部份,鋼筋混凝土造,85年12月20日,十一層,
RPSPMLRLNHNFFDQ67CA,,172.40,住家用,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPUPMLRLNHNFFDQ87CA,,171.23,見其他登記事項,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPTPMLRLNHNFFDQ77CA,,172.60,住家用,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPVPMLRLNHNFFDQ97CA,,170.00,見其他登記事項,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPRNMLMKOHNFFDQ86CA,37,106.78,住家用,鋼筋混凝土加強磚造,70年2月26日,二層,一層 二層 騎樓
RPTNMLLJOHNFFDQ96DA,38,103.97,住家用,加強磚造,69年1月18日,二層,一層 二層
RPOQMLRLNHNFFDQ37CA,,163.21,見其他登記事項,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPOOMLLJOHNFFDQ09CA,2,194.41,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPQNMLQKOHNFFDQ17CA,19,88.93,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,五層
RPQNMLQKOHNFFDQ17CA,19,10.96,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,
RPQNMLQKOHNFFDQ17CA,19,.80,見其他登記事項,鋼筋混凝土造,88年5月31日,一層,
RPWNMLKMNHNFFDQ27CA,37,87.92,住家用,鋼筋混凝土加強磚造,70年6月10日,二層,一層 二層 騎樓
RPVNMLMJOHNFFDQ17CA,23,85.92,見其他登記事項,鋼筋混凝土造,84年9月8日,十二層,五層
RPVNMLMJOHNFFDQ17CA,23,21.00,見其他登記事項,鋼筋混凝土造,84年9月8日,十二層,
RPVNMLMJOHNFFDQ17CA,23,17.98,見其他登記事項,鋼筋混凝土造,84年9月8日,十二層,
RPWPMLRLNHNFFDQ08CA,,165.82,住家用,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPPQMLRLNHNFFDQ47CA,,148.42,住家用,鋼筋混凝土造,106年12月27日,三層,一層 二層 三層
RPXPMLRLNHNFFDQ18CA,,159.79,住家用,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPPNMLSKOHNFFBQ07CA,13,17.24,住家用,鋼筋混凝土造,94年10月3日,十層,八層
RPPNMLSKOHNFFBQ07CA,13,.11,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPPNMLSKOHNFFBQ07CA,13,9.11,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPROMLLMNHNFFCQ86CA,24,94.11,住家用,鋼筋混凝土造,82年12月14日,七層,三層
RPROMLLMNHNFFCQ86CA,24,7.89,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPROMLLMNHNFFCQ86CA,24,5.68,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPPNMLOLNHNFFBQ66CA,37,93.96,住商用,加強磚造,70年9月10日,二層,一層 二層
RPQNMLSKOHNFFBQ17CA,13,17.25,住家用,鋼筋混凝土造,94年10月3日,十層,八層
RPQNMLSKOHNFFBQ17CA,13,.11,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPQNMLSKOHNFFBQ17CA,13,9.11,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPWNMLMJOHNFFDQ27CA,19,132.93,住家用,鋼筋混凝土造,87年12月23日,三層,一層 二層 三層
RPQPMLOJOHNFFDQ07CA,12,.65,見其他登記事項,鋼筋混凝土造,95年7月18日,三層,一層 二層 三層 地下層
RPQPMLOJOHNFFDQ07CA,12,.27,見其他登記事項,鋼筋混凝土造,95年7月18日,一層,地下層
RPQPMLOJOHNFFDQ07CA,12,.48,見其他登記事項,鋼筋混凝土造,95年7月18日,四層,一層 二層 三層 四層 地下層
RPQPMLOJOHNFFDQ07CA,6,198.30,集合住宅,鋼筋混凝土造,101年8月29日,四層,一層 二層 三層 四層
RPRNMLKMNHNFFDQ76CA,23,149.61,住家用,鋼筋混凝土造,83年11月23日,四層,一層 二層 三層 四層
RPXNMLRJOHNFFDQ87CA,,166.87,見其他登記事項,鋼筋混凝土造,106年12月22日,三層,一層 二層 三層 見其他登記事項
RPXOMLOJOHNFFDQ67CA,6,197.02,集合住宅,鋼筋混凝土造,101年8月29日,四層,一層 二層 三層 四層
RPXOMLOJOHNFFDQ67CA,12,.27,見其他登記事項,鋼筋混凝土造,95年7月18日,一層,地下層
RPXOMLOJOHNFFDQ67CA,12,.48,見其他登記事項,鋼筋混凝土造,95年7月18日,四層,一層 二層 三層 四層 地下層
RPXOMLOJOHNFFDQ67CA,12,.65,見其他登記事項,鋼筋混凝土造,95年7月18日,三層,一層 二層 三層 地下層
