編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUNMLLLNHNFFBQ86CA,灣北段,222.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLNHNFFCQ76CA,潭大段,177.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLOLNHNFFCQ37CA,水頭段,77.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOLNHNFFBQ96CA,下竹圍段佳禾小段,161.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLOLNHNFFBQ76CA,溪口段,1401.06,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQLNHNFFBQ86CA,中興段,83.51,都市：住
RPQNMLPLNHNFFCQ96CA,大埔美段大美小段,14263.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLPLNHNFFCQ96CA,大埔美段大美小段,15961.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLMLNHNFFDQ27CA,中興段,355.31,都市：農
RPVNMLMLNHNFFDQ27CA,中興段,1074.60,都市：農
RPVNMLMLNHNFFDQ27CA,中興段,1073.35,都市：農
RPVNMLMLNHNFFDQ27CA,中興段,1073.93,都市：農
RPVNMLMLNHNFFDQ27CA,中興段,1073.72,都市：農
RPRNMLPLNHNFFDQ17CA,段,595.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLOLNHNFFCQ86CA,東榮段,33.21,都市：住
RPSPMLRLNHNFFDQ67CA,柳鄉段,78.34,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSPMLRLNHNFFDQ67CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSPMLRLNHNFFDQ67CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUPMLRLNHNFFDQ87CA,柳鄉段,72.13,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUPMLRLNHNFFDQ87CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUPMLRLNHNFFDQ87CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLRLNHNFFDQ77CA,柳鄉段,73.27,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLRLNHNFFDQ77CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLRLNHNFFDQ77CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVPMLRLNHNFFDQ97CA,柳鄉段,66.43,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVPMLRLNHNFFDQ97CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVPMLRLNHNFFDQ97CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLNLNHNFFEQ86CA,真武段,83.21,都市：住
RPPNMLNLNHNFFEQ86CA,真武段,945.11,都市：住
RPPNMLNLNHNFFEQ86CA,真武段,559.05,都市：住
RPPNMLNLNHNFFEQ86CA,真武段,68.01,都市：農
RPRNMLMKOHNFFDQ86CA,柳林段,62.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMLNHNFFDQ76CA,南靖段南和小段,67.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMLNHNFFBQ66DA,新庄段農牧小段,1463.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLSLNHNFFEQ77CA,緞厝寮段,897.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLSLNHNFFEQ77CA,緞厝寮段,5645.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLSLNHNFFEQ77CA,緞厝寮段,533.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLSLNHNFFEQ77CA,緞厝寮段,1743.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLSLNHNFFEQ77CA,緞厝寮段,871.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLSLNHNFFEQ77CA,緞厝寮段,2580.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNLNHNFFBQ66DA,六興段,34.80,都市：住
RPTNMLLJOHNFFDQ96DA,祥和段,103.80,都市：住
RPTNMLLJOHNFFDQ96DA,祥和段,24.87,都市：住
RPTNMLLJOHNFFDQ96DA,祥和段,20.48,都市：住
RPQNMLNLNHNFFBQ76DA,埤子頭段埤前小段,2060.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLOLNHNFFBQ96DA,雙連潭段連潭小段,235.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLRLNHNFFDQ37CA,柳鄉段,66.90,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOQMLRLNHNFFDQ37CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOQMLRLNHNFFDQ37CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLKLOHNFFCQ66EA,本廳段,717.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKLOHNFFCQ66EA,本廳段,168.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOLNHNFFEQ47CA,圳頭段,3264.00,都市：農
RPTNMLTLNHNFFDQ77CA,灣潭子段,3037.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLTLNHNFFDQ77CA,灣潭子段,3037.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLTLNHNFFDQ77CA,灣潭子段,3037.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLMLNHNFFDQ17CA,隆恩段,108.14,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOOMLLJOHNFFDQ09CA,水南段,36.69,都市：住
RPOOMLLJOHNFFDQ09CA,水南段,91.77,都市：住
RPOOMLLJOHNFFDQ09CA,水南段,.76,都市：住
RPOOMLLJOHNFFDQ09CA,水南段,.75,都市：住
RPOOMLLJOHNFFDQ09CA,水南段,5.61,都市：住
RPUNMLTLNHNFFDQ87CA,灣潭子段,3126.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLQKOHNFFDQ17CA,新舊埤段,35.99,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLQKOHNFFDQ17CA,新舊埤段,10.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLKMNHNFFDQ27CA,後庄段,78.85,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLMJOHNFFDQ17CA,嘉新段,17.99,都市：住
RPWPMLRLNHNFFDQ08CA,柳鄉段,77.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLRLNHNFFDQ08CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLRLNHNFFDQ08CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLRLNHNFFDQ08CA,柳鄉段,22.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPQMLRLNHNFFDQ47CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPQMLRLNHNFFDQ47CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPQMLRLNHNFFDQ47CA,柳鄉段,91.60,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXPMLRLNHNFFDQ18CA,柳鄉段,69.83,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXPMLRLNHNFFDQ18CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXPMLRLNHNFFDQ18CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXPMLRLNHNFFDQ18CA,柳鄉段,13.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLNLNHNFFDQ37CA,過溝段過溝小段,3624.00,都市：農
RPVOMLNLNHNFFDQ47CA,過溝段過溝小段,2546.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLKOHNFFBQ09CA,義竹段義竹小段,3960.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLKOHNFFBQ09CA,義竹段義竹小段,3952.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLLKOHNFFBQ76CA,新寮段,143.55,都市：農
RPPNMLSKOHNFFBQ07CA,嘉朴段,5.36,都市：商
RPSOMLPJOHNFFBQ07CA,考試潭段鹿安小段,983.68,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLPJOHNFFBQ07CA,考試潭段鹿安小段,983.68,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLPJOHNFFBQ07CA,考試潭段鹿安小段,983.68,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLPJOHNFFBQ07CA,考試潭段鹿安小段,983.68,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLOLNHNFFCQ27CA,菁埔段中和小段,511.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLOLNHNFFCQ17CA,菁埔段菁埔小段,1943.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNLNHNFFBQ76CA,竹子腳段竹嘉小段,2331.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNLNHNFFBQ76CA,竹子腳段竹嘉小段,2331.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLNLNHNFFBQ17CA,牛稠底段新富小段,4290.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLNLNHNFFBQ17CA,過路子段,832.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLNLNHNFFBQ17CA,過路子段,2481.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLNLNHNFFBQ17CA,過路子段,694.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLNLNHNFFBQ17CA,過路子段,1338.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLNLNHNFFBQ17CA,過路子段,2487.00,非都市：一般農業區 ; 非都市編定：水利用地
RPVNMLNLNHNFFBQ17CA,過路子段,534.11,非都市：一般農業區 ; 非都市編定：水利用地
RPUNMLNLNHNFFBQ07CA,溪洲段溪洲小段,3109.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLQJOHNFFCQ17CA,三間厝段,75.08,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLLMNHNFFCQ76CA,溪東段,87.36,都市：住
RPROMLLMNHNFFCQ86CA,頭橋段工業小段,19.77,都市：住
RPROMLLMNHNFFCQ86CA,世興段,.01,都市：住
RPROMLLMNHNFFCQ86CA,世興段,2.57,都市：住
RPUNMLPLNHNFFCQ37CA,厝子段厝子小段,3509.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLSJOHNFFCQ17CA,中林段中林小段,2700.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJOHNFFBQ98CA,新寮段,720.25,都市：農
RPPNMLOLNHNFFBQ66CA,景山段,80.46,都市：住
RPQNMLSKOHNFFBQ17CA,嘉朴段,5.36,都市：商
RPQNMLNLNHNFFEQ96CA,內甕段,15.00,都市：住
RPQOMLMJOHNFFDQ76CA,新番子寮段,4091.58,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLNLNHNFFEQ07CA,大湖段,87.33,非都市：森林區 ; 非都市編定：丙種建築用地
RPWNMLMJOHNFFDQ27CA,王爺段,75.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPLNHNFFDQ96CA,金蘭段,665.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLNLNHNFFBQ07DA,港墘厝段龍港小段,3302.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLOJOHNFFDQ27CA,嘉新段,119.18,都市：住
RPUNMLOJOHNFFDQ27CA,嘉新段,22.62,都市：住
RPQNMLLKOHNFFEQ76CA,內甕段,126.50,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.58,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,114.48,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.24,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.42,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.03,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.29,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.46,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.17,都市：住
RPQPMLOJOHNFFDQ07CA,嘉保段,.03,都市：住
RPTNMLTLNHNFFEQ87CA,大草埔段,1028.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLKMNHNFFDQ76CA,和雲段,100.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJOHNFFEQ86CA,山子門段,4.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJOHNFFEQ86CA,山子門段,448.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJOHNFFEQ86CA,山子門段,24.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLRJOHNFFDQ87CA,柳新段,27.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLRJOHNFFDQ87CA,柳新段,89.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLOJOHNFFDQ67CA,嘉保段,114.48,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.58,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.24,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.42,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.03,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.29,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.46,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.17,都市：住
RPXOMLOJOHNFFDQ67CA,嘉保段,.03,都市：住
RPQNMLOLNHNFFDQ96CA,三界埔段,286.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLOLNHNFFDQ96CA,三界埔段,71.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLOLNHNFFDQ96CA,三界埔段,13.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXNMLPLNHNFFDQ77CA,過溝段過溝小段,21.76,都市：住
RPXNMLPLNHNFFDQ77CA,過溝段過溝小段,.25,都市：住
RPXNMLPLNHNFFDQ77CA,過溝段過溝小段,76.00,都市：住
RPUNMLPLNHNFFDQ47CA,柳鄉段,66.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLTLNHNFFBQ77CA,頭竹圍段竹圍小段,450.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLRLNHNFFDQ57CA,柳鄉段,83.41,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLSJOHNFFBQ37CA,頂揖子寮段頂揖小段,3910.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRPMLRLNHNFFDQ57CA,柳鄉段,.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRPMLRLNHNFFDQ57CA,柳鄉段,33.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLPLNHNFFCQ27CA,民農段,9.03,都市：住
RPRNMLPKOHNFFCQ07CA,中坑段,9350.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKOHNFFCQ07CA,中坑段,9340.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKOHNFFCQ07CA,中坑段,803.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKOHNFFCQ07CA,中坑段,9180.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKOHNFFCQ07CA,中坑段,6018.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKOHNFFCQ07CA,中坑段,3967.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLLMNHNFFCQ27CA,北斗段,426.35,都市：商
RPPOMLLJOHNFFCQ09CA,大潭段北潭小段,4386.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQKOHNFFCQ96CA,林子前段三和小段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLOJOHNFFDQ57DA,柚子宅段,136.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOLNHNFFDQ96DA,南新段,663.32,都市：工
RPPNMLOLNHNFFDQ96DA,南新段,40.42,都市：工
RPQNMLQKOHNFFCQ07CA,北斗段,94.19,都市：住
RPTNMLTLNHNFFCQ87EA,中樂段,45.00,都市：住
RPQNMLSLNHNFFDQ47DA,新大崙段,178.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSLNHNFFDQ47DA,新大崙段,26.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
