鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
屏東巿,房地(土地+建物),屏東縣屏東市武林街26巷1~30號,11.84,住,,,1070426,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840126,95.47,3,1,2,有,有,3200000,33518,,0.0,0,,RPSNMLNLNHNFFAT07CA
屏東巿,房地(土地+建物),屏東縣屏東市和平路482巷1弄1~30號,66.0,住,,,1070410,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0580626,80.08,3,1,2,有,無,2300000,28721,,0.0,0,,RPTNMLNLNHNFFAT17CA
萬丹鄉,土地,竹林段811~840地號,2010.63,,特定農業區,農牧用地,1070409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5830000,2900,,0.0,0,,RPUNMLNLNHNFFAT27CA
萬丹鄉,土地,田厝段1471~1500地號,2665.0,,特定農業區,農牧用地,1070426,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9946366,3732,,0.0,0,,RPQOMLNLNHNFFAT96CA
屏東巿,房地(土地+建物),屏東縣屏東市古松西巷462弄1~30號,69.46,住,,,1070423,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931014,177.13,4,2,4,有,無,4900000,27663,,0.0,0,,RPPNMLMLNHNFFAT66CA
屏東巿,房地(土地+建物),屏東縣屏東市竹圍巷1~30號,129.0,住,,,1070403,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671009,141.94,7,2,5,有,無,4020000,28322,,0.0,0,,RPQNMLMLNHNFFAT76CA
屏東巿,房地(土地+建物),屏東縣屏東市中華路1~30號,206.0,商,,,1070411,土地3建物2車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0610804,380.88,6,6,5,有,無,15580000,40905,,0.0,0,,RPXOMLNLNHNFFAT67CA
長治鄉,土地,香潭段871~900地號,2908.61,,一般農業區,農牧用地,1070422,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10200000,3507,,0.0,0,,RPWNMLOLNHNFFAT57CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市棒球路31~60號,92.87,商,,,1070305,土地3建物1車位2,三層,七層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0790703,458.1,0,0,0,無,有,11960000,26108,坡道平面,0.0,0,停車位2位 1為所有權(持份併入公設)1為使用權,RPQNMLPLNHNFFAT07CA
九如鄉,房地(土地+建物),屏東縣九如鄉富仁街301~330號,261.67,住,,,1070425,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1011119,227.33,5,2,4,有,無,9500000,41789,,0.0,0,,RPUNMLSLNHNFFAT77CA
屏東巿,房地(土地+建物),屏東縣屏東市大連路31~60號,70.0,住,,,1070410,土地2建物1車位0,全,二層,透天厝,店舖、住宅,鋼筋混凝土加強磚造,,111.2,4,2,2,有,無,5100000,45863,,0.0,0,,RPROMLLMNHNFFAT96CA
九如鄉,土地,九如段841~870地號,665.33,,鄉村區,乙種建築用地,1070318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3659333,5500,,0.0,0,,RPWNMLLJOHNFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東市公勇路61~90號,19.39,住,,,1070508,土地4建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830526,131.82,4,2,2,有,有,3700000,28069,,0.0,0,,RPQPMLLMNHNFFAT96CA
九如鄉,房地(土地+建物),屏東縣九如鄉三環路121~150號,67.0,,鄉村區,乙種建築用地,1070426,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840314,163.8,4,2,3,有,無,3880000,23687,,0.0,0,,RPTOMLLJOHNFFAT96CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市長春里林森路1巷121~150號,20.29,住,,,1070414,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830207,113.34,3,2,2,有,有,4180000,36880,升降機械,0.0,0,,RPRNMLOJOHNFFAT96CA
高樹鄉,土地,新泰山段481~510地號,3854.07,,一般農業區,特定目的事業用地,1061228,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7816800,2028,,0.0,0,含未保存建物高樹鄉世一路1*0號,RPPNMLMLNHNFFBT76CA
里港鄉,土地,大港洋段1201~1230地號,140.0,農,,,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1831300,13081,,0.0,0,,RPSNMLMLNHNFFBT07CA
fa72埔鄉,房地(土地+建物),屏東縣鹽埔鄉民興街31~60號,27767.1,,一般農業區,農牧用地,1070413,土地1建物1車位0,見其他登記事項,一層,農舍,農舍,見其他登記事項,0821230,73.14,2,1,1,有,無,40000000,,,0.0,0,,RPPNMLNLNHNFFBT86CA
