編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLNLNHNFFAT07CA,23,81.34,見其他登記事項,鋼筋混凝土造,84年1月26日,九層,一層
RPSNMLNLNHNFFAT07CA,23,14.13,見其他登記事項,鋼筋混凝土造,84年1月26日,九層,
RPTNMLNLNHNFFAT17CA,49,80.08,住家用,鋼筋混凝土加強磚造,58年6月26日,二層,一層 二層
RPUNMLSLNHNFFAT77CA,5,227.33,住家用,鋼筋混凝土造,101年11月19日,三層,一層 二層 三層
RPQNMLPLNHNFFAT07CA,28,344.81,見其他登記事項,鋼筋混凝土造,79年7月3日,七層,三層
RPQNMLPLNHNFFAT07CA,28,113.29,見其他登記事項,鋼筋混凝土造,79年7月3日,,
RPXOMLNLNHNFFAT67CA,55,161.90,住家用,鋼筋混凝土加強磚造,51年10月24日,二層,一層 二層
RPXOMLNLNHNFFAT67CA,46,218.98,住商用,鋼筋混凝土加強磚造,61年8月4日,三層,一層 二層 三層 騎樓
RPQNMLMLNHNFFAT76CA,39,141.94,住家用,加強磚造,67年10月9日,二層,一層 二層
RPPNMLMLNHNFFAT66CA,14,177.13,見其他登記事項,鋼筋混凝土造,93年10月14日,四層,一層 二層 三層 四層
RPPNMLNLNHNFFBT86CA,24,73.14,農舍,見其他登記事項,82年12月30日,一層,見其他登記事項
RPPNMLNLNHNFFCT96CA,6,145.14,住商用,見其他登記事項,100年10月31日,三層,一層 二層 三層
RPOOMLOLNHNFFCT07CA,23,91.20,住宅,鋼筋混凝土造,84年7月18日,十二層,九層
RPOOMLOLNHNFFCT07CA,23,26.57,見其他登記事項,鋼筋混凝土造,84年7月18日,十二層,
RPPNMLRLNHNFFBT27CA,25,175.53,住家用,鋼筋混凝土造,82年3月15日,三層,一層 二層 三層
RPQPMLLMNHNFFAT96CA,24,104.56,見其他登記事項,鋼筋混凝土造,83年5月26日,十四層,十二層
RPQPMLLMNHNFFAT96CA,24,27.26,見其他登記事項,鋼筋混凝土造,83年5月26日,十四層,
RPRNMLOJOHNFFAT96CA,24,91.99,住家用,鋼筋混凝土造,83年2月7日,十五層,十四層
RPRNMLOJOHNFFAT96CA,24,21.35,見其他登記事項,鋼筋混凝土造,83年2月7日,十五層,
RPROMLMLNHNFFAT07DA,23,83.35,見其他登記事項,鋼筋混凝土造,84年6月13日,九層,六層
RPROMLMLNHNFFAT07DA,23,44.84,見其他登記事項,鋼筋混凝土造,84年6月13日,九層,
RPROMLLMNHNFFAT96CA,,111.20,店舖、住宅,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPQNMLMKOHNFFCT96CA,24,158.22,住家用,鋼筋混凝土造,83年3月11日,四層,一層 二層 三層 四層
RPTOMLLJOHNFFAT96CA,23,163.80,住家用,鋼筋混凝土造,84年3月14日,四層,一層 二層 三層 四層
RPQNMLOKOHNFFFT47CA,28,131.10,店舖、住宅,鋼筋混凝土造,79年4月20日,二層,一層 二層 騎樓
RPRNMLLKOHNFFCT96CA,7,1856.57,見其他登記事項,見其他登記事項,100年8月31日,三層,一層 二層 三層 見其他登記事項
RPRNMLOLNHNFFCT27CA,2,183.55,見其他登記事項,見其他登記事項,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPRNMLPLNHNFFCT47DA,28,144.33,住家用,鋼筋混凝土造,78年12月13日,三層,一層 二層 三層 騎樓
RPTNMLKMNHNFFCT17CA,4,207.47,見其他登記事項,見其他登記事項,103年6月17日,三層,一層 二層 三層 見其他登記事項
RPRNMLOLNHNFFAT07CA,34,77.47,住宅,加強磚造,72年10月4日,二層,一層 二層
RPRNMLNLNHNFFAT96CA,44,108.74,住商用,磚造,63年9月17日,二層,一層 二層 騎樓
RPPNMLOJOHNFFCT96CA,1,218.16,見其他登記事項,見其他登記事項,106年8月10日,三層,一層 二層 三層 見其他登記事項
RPVNMLPLNHNFFAT57CA,20,196.44,住商用,鋼筋混凝土造,87年4月3日,十三層,一層 二層 三層 四層 騎樓
RPVNMLPLNHNFFAT57CA,20,43.99,見其他登記事項,鋼筋混凝土造,87年4月3日,十三層,
RPSOMLNLNHNFFAT17CA,35,64.41,住家用,鋼筋混凝土造,72年8月8日,五層,四層
RPSOMLNLNHNFFAT17CA,35,12.06,見其他登記事項,鋼筋混凝土造,72年8月8日,五層,
RPQOMLTLNHNFFAT57CA,41,177.98,住商用,鋼筋混凝土加強磚造,66年9月17日,三層,一層 二層 三層 騎樓 地下層
RPXNMLOKOHNFFAT67CA,20,179.28,見其他登記事項,鋼筋混凝土造,87年4月15日,五層,一層 二層 三層 四層 五層
RPQQMLOLNHNFFAT27CA,1,175.05,住宅,鋼筋混凝土造,105年12月12日,三層,一層 二層 三層
RPRQMLOLNHNFFAT37CA,36,84.44,住宅,鋼筋混凝土造,70年11月25日,五層,二層
RPRQMLOLNHNFFAT37CA,36,9.68,見其他登記事項,鋼筋混凝土造,70年11月25日,五層,
RPRQMLOLNHNFFAT37CA,36,6.09,見其他登記事項,鋼筋混凝土造,70年11月25日,五層,
RPTOMLNLNHNFFAT27CA,2,195.09,住家用,鋼筋混凝土造,105年5月4日,三層,一層 二層 三層 屋頂突出物
RPSNMLPLNHNFFAT27CA,10,9.78,見其他登記事項,鋼筋混凝土造,97年3月5日,四層,三層
RPSNMLPLNHNFFAT27CA,10,4.83,見其他登記事項,鋼筋混凝土造,97年3月5日,四層,
RPTOMLPLNHNFFAT47CA,24,95.80,見其他登記事項,鋼筋混凝土造,83年2月15日,六層,三層
RPTOMLPLNHNFFAT47CA,24,17.75,見其他登記事項,鋼筋混凝土造,83年2月15日,六層,
RPUOMLNLNHNFFAT37CA,26,148.79,住家用,鋼筋混凝土造,81年9月20日,四層,一層 二層 三層 四層
RPUOMLPLNHNFFAT57CA,28,84.34,商業用,鋼筋混凝土造,79年8月14日,七層,一層 騎樓
RPUOMLPLNHNFFAT57CA,28,16.48,,鋼筋混凝土造,79年8月14日,七層,
RPROMLOLNHNFFAT17CA,27,131.67,農舍,鋼造,79年12月3日,一層,一層
RPPNMLPLNHNFFAT96CA,,116.98,見其他登記事項,鋼筋混凝土造,107年1月15日,五層,三層
RPPNMLPLNHNFFAT96CA,,26.09,見其他登記事項,鋼筋混凝土造,107年1月15日,五層,
RPTNMLOLNHNFFAT27CA,41,165.00,店舖、住宅,鋼筋混凝土造,66年6月6日,三層,一層 二層 三層 騎樓 地下層
RPTNMLSLNHNFFAT67CA,33,120.56,住家用,加強磚造,74年5月29日,二層,一層 二層
RPOOMLSLNHNFFAT27CA,11,13.91,住家用,鋼筋混凝土造,96年3月28日,五層,三層
RPOOMLSLNHNFFAT27CA,11,6.57,見其他登記事項,鋼筋混凝土造,96年3月28日,五層,
RPUOMLLJOHNFFAT07CA,,48.65,住家用,磚造,,一層,一層 騎樓
RPPPMLLMNHNFFAT86CA,,256.89,住宅,鋼筋混凝土造,107年2月22日,三層,一層 二層 三層 屋頂突出物
RPOPMLLMNHNFFAT76CA,,257.13,住宅,鋼筋混凝土造,107年2月22日,三層,一層 二層 三層 屋頂突出物
RPTOMLLMNHNFFAT17CA,1,231.34,住宅,鋼筋混凝土造,106年9月5日,三層,一層 二層 三層 屋頂突出物
RPSOMLOLNHNFFAT27CA,24,106.87,住宅,鋼筋混凝土造,83年2月6日,三層,一層 二層 三層
RPTNMLPLNHNFFBT47CA,20,97.70,住商用,鋼筋混凝土造,86年11月9日,四層,一層 二層 三層 四層 騎樓
RPTNMLPLNHNFFBT47CA,20,97.70,住商用,鋼筋混凝土造,86年11月9日,四層,一層 二層 三層 四層 騎樓
RPQNMLPLNHNFFCT27CA,23,17.09,住家用,鋼筋混凝土造,84年7月10日,六層,一層
RPQNMLPLNHNFFCT27CA,23,11.17,住家用,鋼筋混凝土造,84年7月10日,六層,
RPPNMLPLNHNFFCT17CA,23,17.09,住家用,鋼筋混凝土造,84年7月10日,六層,一層
RPPNMLPLNHNFFCT17CA,23,11.17,住家用,鋼筋混凝土造,84年7月10日,六層,
RPWOMLTKOHNFFAT18CA,33,116.85,住宅,加強磚造,74年6月24日,二層,一層 二層
RPPNMLTLNHNFFCT57CA,39,271.02,住商用,鋼筋混凝土造,68年4月10日,三層,一層 二層 三層 騎樓
RPUNMLLKOHNFFCT27CA,1,321.62,住宅,見其他登記事項,105年11月24日,三層,一層 二層 三層
RPPNMLKLOHNFFBT66CA,13,230.66,住家用,鋼筋混凝土造,94年6月22日,三層,一層 二層 三層
RPUNMLOLNHNFFDT67CA,1,176.11,住宅,鋼筋混凝土構造,106年6月7日,三層,一層 二層 三層 屋頂突出物
RPVNMLOLNHNFFDT77CA,1,174.12,住宅,鋼筋混凝土構造,106年6月7日,三層,一層 二層 三層 屋頂突出物
RPWNMLPLNHNFFDT97CA,43,61.00,店舖,鋼筋混凝土造,64年2月6日,三層,一層 二層 三層 騎樓
RPXOMLPLNHNFFAT97DA,18,73.20,見其他登記事項,鋼筋混凝土造,89年2月2日,十六層,七層
RPXOMLPLNHNFFAT97DA,18,71.29,見其他登記事項,鋼筋混凝土造,89年2月2日,十六層,
RPTNMLPJOHNFFCT47CA,41,101.00,住商用,加強磚造,66年2月7日,二層,一層 二層 騎樓
RPQNMLLJOHNFFCT76CA,45,140.40,住商用,加強磚造,62年7月31日,三層,一層 二層 三層 騎樓
RPPNMLOLNHNFFFT37CA,32,110.99,住宅,加強磚造,75年3月11日,二層,一層 二層
RPPNMLQKNHNFFDT57CD,,162.40,住宅,鋼筋混凝土構造,107年1月18日,三層,一層 二層 三層
RPPNMLKMNHNFFDT86CA,24,99.44,見其他登記事項,鋼筋混凝土造,83年6月25日,五層,三層
RPPNMLKMNHNFFDT86CA,24,20.48,見其他登記事項,鋼筋混凝土造,83年6月25日,五層,
RPUNMLKMNHNFFDT37CA,2,240.19,住宅,鋼筋混凝土構造,105年8月11日,四層,一層 二層 三層 四層
RPSNMLQJOHNFFCT47CA,39,80.00,住家用,加強磚造,68年1月8日,二層,一層 二層
RPVNMLSLNHNFFCT08CA,24,30.93,見其他登記事項,鋼筋混凝土造,83年5月30日,六層,
RPVNMLSLNHNFFCT08CA,24,100.51,住家用,鋼筋混凝土造,83年5月30日,六層,六層
RPRNMLLMNHNFFET27CA,,185.16,見其他登記事項,見其他登記事項,106年11月6日,三層,一層 二層 三層 屋頂突出物
RPUNMLSLNHNFFCT97CA,23,136.59,住家用,鋼筋混凝土造,84年3月27日,六層,五層
RPUNMLSLNHNFFCT97CA,23,30.96,見其他登記事項,鋼筋混凝土造,84年3月27日,六層,
RPWNMLSLNHNFFCT18CA,8,175.98,住商用,鋼筋混凝土造,99年6月9日,三層,一層 二層 三層 騎樓
RPXNMLLMNHNFFAT47CA,,116.98,見其他登記事項,鋼筋混凝土造,107年1月15日,五層,二層
RPXNMLLMNHNFFAT47CA,,26.09,見其他登記事項,鋼筋混凝土造,107年1月15日,五層,
RPVNMLOKOHNFFCT67CA,23,23.25,住宅,鋼筋混凝土造,84年5月5日,六層,五層
RPVNMLOKOHNFFCT67CA,23,23.25,住宅,鋼筋混凝土造,84年5月5日,六層,四層
RPVNMLOKOHNFFCT67CA,23,23.25,住宅,鋼筋混凝土造,84年5月5日,六層,四層
RPVNMLOKOHNFFCT67CA,23,23.25,住宅,鋼筋混凝土造,84年5月5日,六層,四層
RPVNMLOKOHNFFCT67CA,23,24.65,住宅,鋼筋混凝土造,84年5月5日,六層,四層
RPVNMLOKOHNFFCT67CA,23,10.08,見其他登記事項,鋼筋混凝土造,84年5月5日,六層,
