編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUNMLNLNHNFFAT27CA,竹林段,2010.63,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLNLNHNFFAT96CA,田厝段,1007.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLNLNHNFFAT96CA,田厝段,1658.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLOLNHNFFAT57CA,香潭段,97.77,都市：農
RPWNMLOLNHNFFAT57CA,香潭段,2810.84,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLNLNHNFFAT07CA,萬年段,11.84,都市：住
RPTNMLNLNHNFFAT17CA,檳榔腳段一小段,66.00,都市：住
RPUNMLSLNHNFFAT77CA,九平段,231.88,都市：住
RPUNMLSLNHNFFAT77CA,九平段,29.79,都市：住
RPQNMLPLNHNFFAT07CA,萬年段,22.00,都市：商
RPQNMLPLNHNFFAT07CA,萬年段,22.00,都市：商
RPQNMLPLNHNFFAT07CA,萬年段,48.87,都市：商
RPSNMLMLNHNFFBT07CA,大港洋段,70.00,都市：農
RPSNMLMLNHNFFBT07CA,大港洋段,70.00,都市：農
RPXOMLNLNHNFFAT67CA,舊街段三小段,75.00,都市：商
RPXOMLNLNHNFFAT67CA,舊街段三小段,121.00,都市：商
RPXOMLNLNHNFFAT67CA,舊街段三小段,10.00,都市：商
RPPNMLMLNHNFFBT76CA,新泰山段,3708.48,非都市：一般農業區 ; 非都市編定：特定目的事業用地
RPPNMLMLNHNFFBT76CA,新泰山段,145.59,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLMLNHNFFAT76CA,大同段,129.00,都市：住
RPPNMLMLNHNFFAT66CA,勝興段,12.08,都市：住
RPPNMLMLNHNFFAT66CA,勝興段,54.00,都市：住
RPPNMLMLNHNFFAT66CA,勝興段,3.38,都市：住
RPPNMLOLNHNFFBT96CA,大港洋段,114.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,114.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,49.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,49.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,99.00,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,99.00,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,78.00,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,78.00,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,94.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,94.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,88.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,88.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,41.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,41.50,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,129.00,都市：農
RPPNMLOLNHNFFBT96CA,大港洋段,129.00,都市：農
RPRNMLNLNHNFFBT07CA,洛陽段,111.13,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMLNHNFFCT96CA,新埔段,167.00,都市：農
RPQNMLMLNHNFFCT96CA,新埔段,62.00,都市：農
RPQNMLMLNHNFFCT96CA,新埔段,167.00,都市：農
RPVNMLNLNHNFFCT57CA,四春段,98.07,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNLNHNFFBT86CA,高朗段,27767.10,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFBT66CA,大路關段舊大路關小段,3944.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNLNHNFFCT96CA,潮中段,75.71,都市：住
RPOOMLOLNHNFFCT07CA,永春段,14.48,都市：住
RPWNMLLJOHNFFAT17CA,九如段,665.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRLNHNFFBT27CA,里平段,86.00,都市：住
RPPNMLRLNHNFFBT27CA,里平段,7.00,都市：住
RPRNMLOLNHNFFDT37CA,同安段,5765.89,非都市：一般農業區 ; 非都市編定：農牧用地
RPQPMLLMNHNFFAT96CA,新街段三小段,10.71,都市：住
RPQPMLLMNHNFFAT96CA,新街段三小段,.85,都市：住
RPQPMLLMNHNFFAT96CA,灰段,7.28,都市：住
RPQPMLLMNHNFFAT96CA,灰段,.54,都市：住
RPORMLSLNHNFFDT87CA,白沙段,54.21,都市：商
RPPNMLMLNHNFFET07CA,機場段,3307.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMLNHNFFET07CA,機場段,325.19,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMLNHNFFET07CA,機場段,377.48,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOJOHNFFAT96CA,長春段,20.29,都市：住
RPROMLMLNHNFFAT07DA,勝興段,25.13,都市：住
RPRNMLNLNHNFFDT37DA,富田段,70.74,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLLMNHNFFAT96CA,溝美段,53.00,都市：住
RPROMLLMNHNFFAT96CA,溝美段,17.00,都市：住
RPXNMLTKOHNFFCT38CA,上萬安段,192.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJOHNFFDT07CA,同安段,451.21,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLMKOHNFFDT37CA,豐海段,3.94,都市：住
RPTNMLMKOHNFFDT37CA,豐海段,63.83,都市：住
RPQNMLMKOHNFFCT96CA,溝子墘段,68.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLLJOHNFFAT96CA,九清段,67.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOKOHNFFFT47CA,佳興段,81.18,都市：商
RPUNMLOLNHNFFCT57CA,打鐵段,318.67,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLKLOHNFFDT96DA,新洋段,149.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLOHNFFDT96DA,新洋段,547.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLLKOHNFFCT96CA,神農段,383.36,都市：其他
RPRNMLLKOHNFFCT96CA,神農段,4850.26,都市：工
RPRNMLLKOHNFFCT96CA,水源段,3916.86,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPROMLOLNHNFFCT37CA,上東勢段,600.62,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOLNHNFFDT47CA,五龍段,1444.05,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLMLNHNFFCT27CA,永春段,30.60,都市：住
RPWNMLTLNHNFFDT38CA,關帝段,220.02,都市：住
RPWNMLTLNHNFFDT38CA,關帝段,721.42,都市：住
RPVOMLLMNHNFFAT37CA,農場段,3136.90,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLNHNFFCT27CA,明德段,100.28,都市：住
RPRNMLPLNHNFFCT47DA,延平段,81.88,都市：住
RPQOMLPJOHNFFAT07CA,前進段,95.00,都市：農
RPQOMLPJOHNFFAT07CA,前進段,10.00,都市：農
RPQOMLPJOHNFFAT07CA,頭前溪段,458.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLPJOHNFFAT07CA,頭前溪段,378.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLPLNHNFFAT67CA,萬生段,15.00,都市：農
RPWNMLPLNHNFFAT67CA,萬生段,95.00,都市：住
RPWNMLPLNHNFFAT67CA,萬生段,15.80,都市：其他
RPWNMLPLNHNFFAT67CA,萬生段,.60,都市：住
RPTNMLKMNHNFFCT17CA,大同段,129.22,都市：住
RPRNMLOLNHNFFAT07CA,萬年段,64.00,都市：住
RPRNMLOLNHNFFAT07CA,萬年段,12.00,都市：住
RPRNMLNLNHNFFAT96CA,檳榔腳段二小段,180.00,都市：住
RPPNMLOJOHNFFCT96CA,學人段,147.17,都市：住
RPVNMLPLNHNFFAT57CA,明正段,54.81,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,8.89,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,1.63,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,1.17,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,1.68,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,1.54,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,5.49,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,.59,都市：住
RPSOMLNLNHNFFAT17CA,溝美段,1.10,都市：住
RPQOMLTLNHNFFAT57CA,公園段二小段,51.00,都市：住
RPQOMLTLNHNFFAT57CA,公園段二小段,11.00,都市：住
RPXNMLOKOHNFFAT67CA,香揚段,2.12,都市：住
RPXNMLOKOHNFFAT67CA,香揚段,60.56,都市：住
RPXNMLOKOHNFFAT67CA,長春段,1.76,都市：住
RPXNMLOKOHNFFAT67CA,長春段,8.05,都市：住
RPRPMLOLNHNFFAT27CA,麟孝段,300.90,都市：農
RPRPMLOLNHNFFAT27CA,麟孝段,61.78,都市：農
RPOPMLOLNHNFFAT96CA,麟孝段,287.20,都市：農
RPOPMLOLNHNFFAT96CA,麟孝段,291.73,都市：農
RPOPMLOLNHNFFAT96CA,麟孝段,118.81,都市：農
RPPOMLNLNHNFFAT86CA,和興段,199.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLNLNHNFFAT86CA,和興段,199.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLNLNHNFFAT86CA,和興段,199.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPVOMLOLNHNFFAT57CA,萬年段,1188.00,都市：住
RPUOMLOLNHNFFAT47CA,前進段,866.00,都市：工
RPWOMLOLNHNFFAT67CA,麟孝段,281.72,都市：農
RPWOMLOLNHNFFAT67CA,麟孝段,57.46,都市：農
RPQPMLOLNHNFFAT17CA,麟孝段,305.48,都市：農
RPPPMLOLNHNFFAT07CA,麟孝段,296.31,都市：農
RPQPMLOLNHNFFAT17CA,麟孝段,343.24,都市：農
RPPPMLOLNHNFFAT07CA,麟孝段,60.92,都市：農
RPQPMLOLNHNFFAT17CA,麟孝段,133.07,都市：農
RPQQMLOLNHNFFAT27CA,新社皮段,19.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLOLNHNFFAT27CA,新社皮段,112.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLOLNHNFFAT27CA,新社皮段,5.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLOLNHNFFAT37CA,水源段二小段,38.10,都市：住
RPXNMLPLNHNFFAT77CA,萬生段,45.00,都市：農
RPXNMLPLNHNFFAT77CA,萬生段,285.00,都市：住
RPXNMLPLNHNFFAT77CA,萬生段,47.40,都市：其他
RPXNMLPLNHNFFAT77CA,萬生段,1.80,都市：住
RPTOMLNLNHNFFAT27CA,勝興段,98.00,都市：住
RPTOMLNLNHNFFAT27CA,勝興段,25.25,都市：住
RPSNMLPLNHNFFAT27CA,北勢段,5.92,都市：住
RPTOMLPLNHNFFAT47CA,溝美段,30.63,都市：住
RPUOMLNLNHNFFAT37CA,新海豐段,4.47,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUOMLNLNHNFFAT37CA,新海豐段,75.23,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLRLNHNFFAT37CA,新社皮段,258.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLPLNHNFFAT57CA,水源段一小段,12.08,都市：住
RPUOMLPLNHNFFAT57CA,水源段一小段,11.20,都市：住
RPROMLOLNHNFFAT17CA,惠農段,1707.92,非都市：一般農業區 ; 非都市編定：農牧用地
RPTOMLPJOHNFFAT37CA,萬後段,46.08,都市：住
RPPNMLPLNHNFFAT96CA,萬年段,59.80,都市：住
RPTNMLOLNHNFFAT27CA,街頭段四小段,76.00,都市：住
