編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPQNMLPLNHNFFAT07CA,坡道平面,0,
RPQNMLPLNHNFFAT07CA,坡道平面,0,
RPOOMLOLNHNFFCT07CA,坡道平面,0,
RPRNMLOJOHNFFAT96CA,升降機械,0,
RPRNMLOJOHNFFAT96CA,升降機械,0,
RPROMLMLNHNFFAT07DA,一樓平面,0,
RPPNMLPLNHNFFAT96CA,一樓平面,0,
RPXOMLPLNHNFFAT97DA,坡道平面,550000,30.85
RPVNMLSLNHNFFCT08CA,坡道平面,0,
RPUNMLSLNHNFFCT97CA,坡道平面,0,
RPXNMLLMNHNFFAT47CA,一樓平面,0,
RPWNMLTLNHNFFAT08CA,坡道平面,0,24.00
RPXNMLTLNHNFFAT18CA,坡道平面,0,
RPRNMLTLNHNFFAT57CA,一樓平面,0,
RPSPMLLMNHNFFAT17CA,坡道平面,0,
