編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLSLNHNFFAU47CA,9,169.70,住家用,鋼筋混凝土造,98年2月13日,三層,一層 二層 三層
RPUNMLNLNHNFFAU37CA,,167.38,見其他登記事項,鋼筋混凝土造,106年12月29日,四層,二層
RPUNMLNLNHNFFAU37CA,,40.46,共有部份,鋼筋混凝土造,106年12月29日,四層,
RPQNMLPLNHNFFAU17CA,3,362.65,住家用,鋼筋混凝土造,104年8月31日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPUNMLMLNHNFFAU27CA,23,35.43,住家用,鋼筋混凝土造,84年1月14日,七層,三層
RPUNMLMLNHNFFAU27CA,23,9.78,共有部份,鋼筋混凝土造,84年1月14日,七層,
RPXNMLMLNHNFFAU57CA,25,100.70,住家用,鋼筋混凝土造,82年1月9日,七層,二層
RPXNMLMLNHNFFAU57CA,25,100.70,住家用,鋼筋混凝土造,82年1月9日,七層,二層
RPXNMLMLNHNFFAU57CA,25,10.21,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPXNMLMLNHNFFAU57CA,25,10.94,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPXNMLMLNHNFFAU57CA,25,.28,商業用,鋼筋混凝土造,82年1月9日,七層,
RPXNMLMLNHNFFAU57CA,25,15.02,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPSNMLNLNHNFFAU37EA,26,131.62,見其他登記事項,鋼筋混凝土造,81年4月29日,四層,一層 二層 三層 四層 騎樓
RPPNMLOLNHNFFAU96CA,24,103.37,住家用,鋼筋混凝土造,82年11月9日,八層,四層
RPPNMLOLNHNFFAU96CA,24,41.18,共有部份,鋼筋混凝土造,82年11月9日,八層,
RPRNMLLJOHNFFCU96CA,43,24.97,住家用,鋼筋混凝土加強磚造,64年3月25日,一層,一層 騎樓
RPRNMLLJOHNFFCU96CA,43,24.97,住家用,鋼筋混凝土加強磚造,64年3月25日,一層,一層 騎樓
RPRNMLLJOHNFFCU96CA,43,24.97,住家用,鋼筋混凝土加強磚造,64年3月25日,一層,一層 騎樓
RPOOMLMLNHNFFAU76CA,9,167.49,住家用,鋼筋混凝土造,98年2月13日,三層,一層 二層 三層 屋頂突出物
RPSNMLOLNHNFFCU47CA,,280.83,住家用,鋼筋混凝土造,107年3月29日,四層,一層 二層 三層 四層
RPOOMLLLOHNFFAU76CA,32,39.35,商業用,鋼筋混凝土造,75年7月12日,五層,三層
RPOOMLLLOHNFFAU76CA,32,9.25,共有部份,鋼筋混凝土造,75年7月12日,五層,
RPSNMLPKOHNFFAU37CA,22,195.05,住商用,鋼筋混凝土造,84年12月27日,四層,一層 二層 三層 四層
RPSNMLPKOHNFFAU37CA,22,75.60,見其他登記事項,鋼筋混凝土造,84年12月27日,四層,
RPQNMLOLNHNFFCU27CA,,290.09,住家用,鋼筋混凝土造,107年3月29日,四層,一層 二層 三層 四層
