編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPROMLPLNHNFFAU37CA,佳民段,2622.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNLNHNFFAU86CA,共和段,3037.10,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSLNHNFFAU47CA,福興段,83.00,都市：住
RPUNMLNLNHNFFAU37CA,民意段民意小段,72.47,都市：住
RPQNMLPLNHNFFAU17CA,慈雲段,156.00,都市：住
RPVNMLMLNHNFFAU37CA,民心段,99.00,都市：工
RPRNMLMLNHNFFCU17CA,東里段,2674.43,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLMLNHNFFAU27CA,國光段,8.40,都市：住
RPXNMLMLNHNFFAU57CA,樹人段,11.62,都市：商
RPXNMLMLNHNFFAU57CA,樹人段,10.84,都市：住
RPPNMLOLNHNFFAU96CA,民勤段,22.00,都市：住
RPPNMLOJOHNFFCU07CA,新莊段,1269.73,非都市：特定農業區 ; 非都市編定：農牧用地
RPSPMLSJOHNFFAU77CA,吳全段,2862.45,都市：農
RPRNMLLJOHNFFCU96CA,瑞泉段,94.67,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,94.67,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,94.67,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,44.33,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,44.33,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,44.33,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,87.67,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,87.67,都市：住
RPRNMLLJOHNFFCU96CA,瑞泉段,87.67,都市：住
RPOOMLMLNHNFFAU76CA,福興段,81.00,都市：住
RPSNMLOLNHNFFCU47CA,瑞新段,131.86,都市：住
RPOOMLLLOHNFFAU76CA,富國段,8.58,都市：商
RPSNMLPKOHNFFAU37CA,國光段,57.00,都市：商
RPSNMLPKOHNFFAU37CA,國光段,3.15,都市：商
RPSNMLPKOHNFFAU37CA,國光段,17.59,都市：商
RPQNMLOLNHNFFCU27CA,瑞新段,133.68,都市：住
RPPNMLPLNHNFFAU07CA,樹林段,3263.64,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLNHNFFCU37CA,瑞新段,140.70,都市：住
RPRNMLSJOHNFFAU47CA,慈雲段,229.94,都市：住
RPVNMLNLNHNFFAU47CA,民意段民意小段,33.30,都市：住
RPTNMLTLNHNFFAU87CA,干城段,50.60,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLQJOHNFFAU07CA,民勤段,59.40,都市：農
RPPNMLQJOHNFFAU07CA,民勤段,121.00,都市：農
RPPNMLQJOHNFFAU07CA,民勤段,15.80,都市：農
RPTNMLLJOHNFFCU17CA,埔頭段,100.00,非都市： ; 非都市編定：
RPWNMLTLNHNFFAU18CA,德安段,13.00,都市：住
RPPOMLKMNHNFFAU76CA,宜昌段,111.00,都市：其他
RPROMLLMNHNFFAU07CA,仁和段,114.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLPLNHNFFAU47EA,林森段,68.00,都市：住
RPSNMLPJOHNFFAU47EA,仁和段,880.35,都市：農
RPPNMLTLNHNFFBU57CA,溪州段,213.38,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLOJOHNFFBU17CA,管真段,477.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLPLNHNFFBU17CA,支亞干段,384.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPLNHNFFBU17CA,支亞干段,1077.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLTKOHNFFAU87CA,嘉南段,136.00,都市：住
RPPNMLOLNHNFFBU07CA,大安段,89.00,都市：住
RPQNMLTLNHNFFBU67CA,鳳凰段,3230.04,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTLNHNFFBU67CA,鳳凰段,867.70,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLLMNHNFFAU76CA,萬富段,1040.22,非都市：一般農業區 ; 非都市編定：養殖用地
RPWOMLSJOHNFFAU08CA,碧雲段,19.14,都市：住
RPWOMLSJOHNFFAU08CA,碧雲段,37.00,都市：住
RPWOMLSJOHNFFAU08CA,碧雲段,10.54,都市：其他
RPWOMLSJOHNFFAU08CA,碧雲段,2.78,都市：住
RPWOMLSJOHNFFAU08CA,碧雲段,1.64,都市：其他
RPWOMLSJOHNFFAU08CA,碧雲段,4.05,都市：住
RPQNMLLLOHNFFBU17EA,悅付南段,159.94,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLLLOHNFFBU17EA,悅付南段,214.18,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLQJOHNFFAU87CA,光英段,1082.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLPKOHNFFAU47CA,康樂段,88.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLKLOHNFFAU76CA,自強段,3.49,都市：住
RPQNMLKLOHNFFAU76CA,自強段,6.03,都市：住
RPRNMLKLOHNFFAU86CA,主權段,86.00,都市：住
RPTOMLOKOHNFFAU47CA,仁恥段,121.00,都市：住
RPTOMLOKOHNFFAU47CA,仁恥段,31.40,都市：住
RPSNMLLKOHNFFAU96CA,國光段,183.00,都市：住
RPVOMLOKOHNFFAU67CA,富國段,2.50,都市：商
RPPNMLNKOHNFFAU86CA,上崇德段,91.33,都市：住
RPPNMLNKOHNFFAU86CA,上崇德段,13.39,都市：住
RPUOMLOKOHNFFAU57CA,德安段,38.00,都市：住
RPUOMLOKOHNFFAU57CA,德安段,40.00,都市：住
RPUOMLOKOHNFFAU57CA,德安段,20.00,都市：住
RPQNMLTLNHNFFAU57CA,光學段,1715.84,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLPLNHNFFAU47CA,干城段,982.84,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPLNHNFFAU27CA,豐山段,73.63,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLRJOHNFFAU47CA,銅門段,3540.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFAU96CA,主權段,36.64,都市：住
RPSNMLKMNHNFFAU96CA,主權段,.34,都市：其他
RPWNMLRJOHNFFAU87CA,南埔段,101.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSLNHNFFCU87EA,玉璞段,95.00,都市：住
RPPNMLKMNHNFFAU66CA,光學段,942.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLSLNHNFFAU57CA,福安段,27.46,都市：住
RPXNMLSLNHNFFAU18CA,樹林段,91.06,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVOMLPLNHNFFAU77CA,廣安段,39.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPLNHNFFAU77CA,廣安段,53.71,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLJOHNFFAU56CA,南埔段,120.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLKMNHNFFAU76CA,慈安段,126.00,都市：住
RPWNMLLJOHNFFAU27CA,仁恥段,84.00,都市：住
RPUNMLSLNHNFFAU87CA,莊敬段,106.00,都市：住
RPPOMLLLOHNFFAU86CA,永安段,90.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKMNHNFFCU86CA,富豐段,5981.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFCU86CA,富豐段,1441.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLLKOHNFFAU96CA,嘉南段,91.00,都市：住
RPPNMLKMNHNFFBU76CA,鳳光段,32.03,都市：住
RPOPMLSJOHNFFAU37CA,嘉南段,89.00,都市：住
RPQNMLPJOHNFFAU07CA,富國段,10.26,都市：住
RPUOMLTKOHNFFAU08CA,慈惠段,88.17,都市：住
RPQOMLLLOHNFFAU17EA,東昌段,63.60,都市：其他
RPQOMLLLOHNFFAU17EA,東昌段,69.14,都市：其他
RPQOMLLLOHNFFAU17EA,東昌段,67.56,都市：其他
RPQOMLLLOHNFFAU17EA,東昌段,30.92,都市：其他
RPXNMLTLNHNFFAU28CA,慈勝段,611.89,都市：農
RPRNMLSLNHNFFCU77CA,瑞新段,132.57,都市：住
RPOOMLTLNHNFFAU47CA,慈勝段,513.99,都市：農
RPOOMLTLNHNFFAU47CA,慈勝段,6.89,都市：農
RPVNMLPLOHNFFAU77CA,南埔段,108.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLLMNHNFFAU07CA,仁義段,65.00,都市：住
RPRNMLKMNHNFFCU07CA,瑞新段,111.96,都市：住
RPUNMLLMNHNFFAU27CA,政明段,140.17,都市：住
RPVNMLPJOHNFFAU57CA,福德段,545.00,都市：農
RPRNMLKMNHNFFAU86CA,富國段,17.03,都市：住
RPSNMLKMNHNFFCU17CA,瑞美段,89.00,都市：住
RPPNMLLMNHNFFAU76CA,仁恥段,135.00,都市：住
RPTNMLKLOHNFFAU07CA,林森段,86.00,都市：住
RPTNMLKLOHNFFAU07CA,林森段,12.60,都市：住
RPTNMLKLOHNFFAU07CA,林森段,1.60,都市：住
RPVNMLLJOHNFFAU17CA,仁義段,62.00,都市：住
RPPNMLLMNHNFFCU17EA,新興段,2402.47,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLMNHNFFCU17EA,新興段,281.91,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLMNHNFFCU17EA,新興段,1778.40,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLMNHNFFCU17EA,新興段,965.55,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLOJOHNFFBU57CA,管真段,1572.54,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,2727.38,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,205.02,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,4067.54,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,1750.00,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,1230.24,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,6555.09,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,499.57,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,1826.00,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPVNMLOJOHNFFBU57CA,管真段,932.87,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPPNMLMKOHNFFBU86CA,新白陽段,3437.08,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLLMNHNFFCU47CA,瑞新段,106.53,都市：住
RPQNMLLMNHNFFCU27EA,鶴岡段,1882.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLKMNHNFFBU86CA,阿托莫段,1248.48,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLLMNHNFFCU37EA,玉城段,191.00,都市：住
RPWOMLOKOHNFFAU77CA,福祥段,13.20,都市：住
RPRNMLTKOHNFFCU08EA,泰林段,462.22,非都市：山坡地保育區 ; 非都市編定：暫未編定
RPRNMLTKOHNFFCU08EA,泰林段,88.66,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLTKOHNFFCU08EA,舊田段,42.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNKOHNFFAU07CA,政明段,168.20,都市：住
RPSOMLKMNHNFFAU17DA,莊敬段,13.01,都市：住
