鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慈惠一街31~60號,88.0,住,,,1070518,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0690623,120.79,0,0,0,無,無,無,13000,108,,0.0,0,,RPPOMLLLNHNFFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路271~300號,22.11,住,,,1070520,土地3建物1車位0,七層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000121,162.26999999999998,4,2,2,有,有,有,21000,129,,0.0,0,,RPQOMLMLNHNFFAU17CC
花蓮市,房地(土地+建物),花蓮縣花蓮市民光391~420號,70.0,農,,,1070509,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0930402,150.96,4,2,3,有,無,有,17000,113,,0.0,0,,RPSNMLMLNHNFFAU37DC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉永興六街61~90號,387.69,,鄉村區,乙種建築用地,1070519,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土造,0960207,179.35,4,2,2,有,無,有,20000,112,,0.0,0,,RPTNMLMLNHNFFAU47DC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛二街91~120號,17.78,商,,,1070516,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830110,131.33,2,1,1,有,有,無,10000,76,,0.0,0,,RPUNMLPLNHNFFAU77CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中山路三段241~270號,108.0,住,,,1070425,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土造,0821202,153.41,3,1,4,有,無,有,26000,169,,0.0,0,,RPVNMLSLNHNFFAU18CC
花蓮市,房地(土地+建物),花蓮縣吉安鄉壽昌街29巷31~60號,28.58,住,,,1070425,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840406,109.99,3,2,2,有,無,有,11500,105,,0.0,0,,RPOOMLSLNHNFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市建林街61~90號,74.0,住,,,1070120,土地3建物1車位0,見其他登記事項,2,店面(店鋪),住家用,鋼筋混凝土造,0690905,101.1,3,2,2,有,無,有,18000,178,,0.0,0,,RPVNMLTLNHNFFAU28CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街1~30號,84.0,住,,,1070511,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0840616,205.91,5,2,4,有,無,有,13000,63,,0.0,0,,RPUNMLTLNHNFFAU38EC
花蓮市,房地(土地+建物),花蓮縣花蓮市中原路601~630號,33.66,其他,,,1070508,土地1建物1車位0,一層,3,店面(店鋪),住家用,鋼筋混凝土造,1020315,74.23,0,2,1,有,無,無,15000,202,,0.0,0,,RPTNMLKMNHNFFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市鎮國街1~30號,170.0,商,,,1070518,土地1建物1車位0,見其他登記事項,1,店面(店鋪),商業用,鋼筋混凝土造,0860805,119.18,0,0,0,無,無,有,50000,420,,0.0,0,,RPXNMLKMNHNFFAU67CC
