編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLMLNHNFFAU17CC,7,113.24,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,
RPQOMLMLNHNFFAU17CC,7,49.03,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPPOMLLLNHNFFAU96CC,38,120.79,住商用,鋼筋混凝土造,69年6月23日,三層,
RPUNMLPLNHNFFAU77CC,24,112.18,住商用,鋼筋混凝土造,83年1月10日,九層,
RPUNMLPLNHNFFAU77CC,24,19.15,共有部份,鋼筋混凝土造,83年1月10日,九層,
RPTNMLMLNHNFFAU47DC,11,179.35,住家用,鋼筋混凝土造,96年2月7日,一層,
RPVNMLTLNHNFFAU28CC,37,101.10,住家用,鋼筋混凝土造,69年9月5日,二層,
RPSNMLMLNHNFFAU37DC,14,150.96,住家用,鋼筋混凝土造,93年4月2日,三層,
RPVNMLSLNHNFFAU18CC,24,153.41,住商用,鋼筋混凝土造,82年12月2日,二層,
RPXNMLKMNHNFFAU67CC,21,119.18,商業用,鋼筋混凝土造,86年8月5日,一層,
RPOOMLSLNHNFFAU57CC,23,96.32,住家用,鋼筋混凝土造,84年4月6日,五層,
RPOOMLSLNHNFFAU57CC,23,13.67,共有部份,鋼筋混凝土造,84年4月6日,五層,
RPTNMLKMNHNFFAU27CC,5,74.23,住家用,鋼筋混凝土造,102年3月15日,三層,
RPUNMLTLNHNFFAU38EC,23,205.91,住家用,鋼筋混凝土造,84年6月16日,四層,
