編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQOMLMLNHNFFAU17CC,林森段,3.38,都市：住
RPQOMLMLNHNFFAU17CC,林森段,6.32,都市：住
RPQOMLMLNHNFFAU17CC,林森段,12.41,都市：住
RPPOMLLLNHNFFAU96CC,慈安段,88.00,都市：住
RPUNMLPLNHNFFAU77CC,富國段,17.78,都市：商
RPTNMLMLNHNFFAU47DC,永興段,387.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLTLNHNFFAU28CC,國風段,1.00,都市：住
RPVNMLTLNHNFFAU28CC,國風段,52.00,都市：住
RPVNMLTLNHNFFAU28CC,國風段,21.00,都市：住
RPSNMLMLNHNFFAU37DC,民勤段,70.00,都市：農
RPVNMLSLNHNFFAU18CC,慶豐段,108.00,都市：住
RPXNMLKMNHNFFAU67CC,主權段,170.00,都市：商
RPOOMLSLNHNFFAU57CC,自強段,28.58,都市：住
RPTNMLKMNHNFFAU27CC,德安段,33.66,都市：其他
RPUNMLTLNHNFFAU38EC,仁恥段,84.00,都市：住
