鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
台東市,土地,豐源段781~810地號,5000.0,,特定農業區,農牧用地,1070312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,1200,,0.0,0,,RPRNMLMLNHNFFAV07CA
台東市,土地,合江段271~300地號,5069.56,,風景區,農牧用地,1070509,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1580000,312,,0.0,0,親友、員工或其他特殊關係間之交易。急買急賣。,RPVNMLMLNHNFFAV47CA
成功鎮,土地,忠智段661~690地號,156.34,住,,,1070504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,9594,,0.0,0,1.含未辦保存建物2.親友間特殊買賣,RPPNMLNLNHNFFBV07CA
太麻里鄉,土地,荒野段181~210地號,228.53,,特定農業區,農牧用地,1070511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,656,,0.0,0,,RPQNMLTLNHNFFDV97CA
台東市,房地(土地+建物),臺東縣臺東市四維路三段59巷1~30號,14.64,住,,,1070503,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830419,111.69,2,2,2,有,無,3350000,29994,,0.0,0,,RPOOMLTLNHNFFAV67DA
成功鎮,房地(土地+建物),臺東縣成功鎮濱路301~330號,1444.72,,風景區,農牧用地,1070508,土地1建物1車位0,全,三層,透天厝,農舍,見其他登記事項,1070319,408.81,10,1,10,有,無,15000000,36692,,0.0,0,,RPQNMLNLNHNFFBV17CA
關山鎮,土地,水井段811~840地號,1290.86,,鄉村區,乙種建築用地,1061229,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5821500,4510,,0.0,0,,RPPNMLPLNHNFFCV37CA
關山鎮,土地,豐泉段901~930地號,165.3,住,,,1070515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,27223,,0.0,0,,RPQNMLLMNHNFFCV17CA
鹿野鄉,土地,鹿野段1141~1170地號,3880.0,,特定農業區,農牧用地,1070326,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8300000,2139,,0.0,0,,RPQNMLTLNHNFFCV87CA
