編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNLNHNFFBV17CA,,408.81,農舍,見其他登記事項,107年3月19日,三層,一層 二層 三層
RPSNMLSLNHNFFAV87DA,24,83.53,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,十層
RPSNMLSLNHNFFAV87DA,24,11.13,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,1.13,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.75,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.14,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.53,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.56,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.14,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.27,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.27,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.28,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.34,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLSLNHNFFAV87DA,24,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
