編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPVNMLMLNHNFFAV47CA,合江段,1411.93,非都市：風景區 ; 非都市編定：農牧用地
RPVNMLMLNHNFFAV47CA,合江段,3013.88,非都市：風景區 ; 非都市編定：農牧用地
RPVNMLMLNHNFFAV47CA,合江段,643.76,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLMLNHNFFAV07CA,豐源段,5000.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTLNHNFFDV97CA,荒野段,228.53,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLNLNHNFFBV07CA,忠智段,156.34,都市：住
RPWNMLMLNHNFFAV57CA,合江段,1882.57,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLMLNHNFFAV37CA,建成段,67.71,都市：其他
RPWNMLMLNHNFFAV57CA,合江段,4018.50,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLMLNHNFFAV37CA,建成段,67.71,都市：其他
RPWNMLMLNHNFFAV57CA,合江段,858.34,非都市：風景區 ; 非都市編定：農牧用地
RPTNMLMLNHNFFAV27CA,中正段,224.00,都市：住
RPSNMLMLNHNFFAV17CA,利家段,2200.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMLNHNFFAV17CA,利家段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFAV76CA,台東段,307.00,都市：住
RPQNMLNLNHNFFBV17CA,和平南段,1444.72,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLPLNHNFFCV37CA,水井段,95.75,非都市：鄉村區 ; 非都市編定：交通用地
RPPNMLPLNHNFFCV37CA,水井段,473.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPLNHNFFCV37CA,水井段,119.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPLNHNFFCV37CA,水井段,67.94,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPLNHNFFCV37CA,水井段,230.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPLNHNFFCV37CA,水井段,304.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTLNHNFFCV87CA,鹿野段,2331.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTLNHNFFCV87CA,鹿野段,1549.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLMNHNFFCV17CA,豐泉段,82.65,都市：住
RPQNMLLMNHNFFCV17CA,豐泉段,82.65,都市：住
RPPNMLOLNHNFFDV37CA,北橋段,110.60,都市：住
RPPNMLTLNHNFFDV87CA,尚武段,67.23,都市：商
RPPNMLLJOHNFFCV86CA,水墜段,468.54,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLSLNHNFFAV87DA,常德段,12.91,都市：商
RPPNMLNLNHNFFAV96CA,下賓朗段,7.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLTLNHNFFAV67DA,新生段,14.64,都市：住
RPVOMLOLNHNFFAV87DA,利泰段,69.35,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLOLNHNFFAV77CA,中清段,279.11,都市：住
RPWNMLOLNHNFFAV77CA,中清段,139.55,都市：住
RPWNMLOLNHNFFAV77CA,中清段,1.03,都市：其他
RPWNMLOLNHNFFAV77CA,中清段,.51,都市：其他
RPWNMLOLNHNFFAV77CA,中清段,453.57,都市：住
RPWNMLOLNHNFFAV77CA,中清段,226.78,都市：住
RPWNMLOLNHNFFAV77CA,中清段,1.13,都市：住
RPWNMLOLNHNFFAV77CA,中清段,.56,都市：住
RPWNMLOLNHNFFAV77CA,中清段,67.93,都市：其他
RPWNMLOLNHNFFAV77CA,中清段,33.97,都市：其他
RPWNMLOLNHNFFAV77CA,中清段,4.84,都市：住
RPWNMLOLNHNFFAV77CA,中清段,2.42,都市：住
TPQNMLSLNHNFFAV87DA,光明段,3.89,都市：其他
RPPNMLKMNHNFFBV96DA,東河段,357.27,都市：住
RPPNMLKMNHNFFBV96DA,東河段,17.95,都市：住
RPQNMLOLNHNFFBV27CA,新港段新港小段,82.00,非都市：風景區 ; 非都市編定：丙種建築用地
UPQNMLSLNHNFFAV97DA,光明段,6.03,都市：其他
SPQNMLSLNHNFFAV77DA,光明段,2.89,都市：其他
RPQNMLSLNHNFFAV67DA,光明段,2.24,都市：其他
VPQNMLSLNHNFFAV08DA,光明段,27.86,都市：其他
RPRNMLOLNHNFFBV37CA,田組段,150.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOLNHNFFBV37CA,田組段,57.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNLNHNFFAV17CA,馬蘭段,45.60,都市：住
RPSNMLPLNHNFFAV47CA,豐利段,99.27,都市：住
RPPNMLTLNHNFFAV57CA,建本段,3153.49,都市：農
RPTNMLKMNHNFFAV17CA,新生段,15.13,都市：住
RPXNMLKMNHNFFAV57CA,普優瑪段,98.10,都市：住
RPWNMLKMNHNFFAV47CA,梧州段,180.66,都市：住
RPRNMLKMNHNFFAV96CA,豐年段,115.89,都市：住
RPRNMLKMNHNFFAV96CA,豐年段,116.29,都市：住
RPPNMLQLNHNFFAV27CA,石壁段,2235.79,都市：農
RPPNMLQLNHNFFAV27CA,石壁段,665.23,都市：農
RPPNMLQLNHNFFAV27CA,石壁段,44.65,都市：農
RPPNMLQLNHNFFAV27CA,石壁段,72.14,都市：其他
RPRNMLSLNHNFFAV67CA,台東段,6.00,都市：住
RPWOMLOLNHNFFAV87CA,下賓朗段,32.20,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLOLNHNFFAV87CA,下賓朗段,53.98,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLOLNHNFFAV87CA,下賓朗段,97.59,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPSNMLTLNHNFFAV87CA,台東段,8.70,都市：商
RPRNMLPLNHNFFAV37CA,自強段,80.00,都市：住
RPUNMLNLNHNFFAV47CA,普優瑪段,20.53,都市：住
RPUNMLNLNHNFFAV47CA,普優瑪段,108.07,都市：住
RPUNMLNLNHNFFAV47CA,普優瑪段,105.14,都市：住
RPUNMLNLNHNFFAV47CA,普優瑪段,3.20,都市：住
RPUNMLNLNHNFFAV47CA,普優瑪段,2.65,都市：住
RPXOMLOLNHNFFAV97CA,豐康段,68.72,都市：住
RPXOMLOLNHNFFAV97CA,豐康段,68.72,都市：住
RPVNMLPLNHNFFAV77CA,澱粉段,87.85,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLPLNHNFFAV27CA,東海段,3.82,都市：住
RPQNMLPLNHNFFAV27CA,東海段,.21,都市：其他
RPQNMLPLNHNFFAV27CA,東海段,113.50,都市：住
RPQNMLPLNHNFFAV27CA,東海段,.64,都市：其他
RPPNMLLLOHNFFCV17DA,康源段,75.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLLMNHNFFAV27CA,新中寮段,128.00,都市：住
RPTNMLLMNHNFFAV27CA,新中寮段,1.02,都市：住
RPTNMLLMNHNFFAV27CA,新中寮段,20.31,都市：住
RPTNMLLMNHNFFAV27CA,新中寮段,57.60,都市：住
RPPNMLOJOHNFFBV07CA,八仙洞段,70.66,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJOHNFFBV07CA,八仙洞段,70.66,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLSLNHNFFAV87CA,豐年段,161.20,都市：住
RPTNMLSLNHNFFAV87CA,豐年段,20.92,都市：住
RPWNMLTLNHNFFAV28CA,常德段,248.86,都市：住
RPQNMLKMNHNFFBV96CA,成功段,53.63,都市：住
RPPOMLTLNHNFFAV67CA,豐利段,46.51,都市：住
RPQOMLTLNHNFFAV77CA,建成段,188.87,都市：住
RPQNMLSLNHNFFCV77CA,水井段,327.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSLNHNFFCV77CA,水井段,324.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSLNHNFFCV77CA,水井段,79.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLSLNHNFFCV87CA,水井段,74.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRJOHNFFCV47CA,鹿寮段,3148.46,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLRJOHNFFCV47CA,鹿寮段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLTLNHNFFAV87CA,台東段,30.33,都市：住
RPQNMLMKOHNFFCV17CA,加拿段,813.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,1055.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,1169.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,1294.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,899.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,719.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,659.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,899.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,899.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKOHNFFCV17CA,加拿段,899.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLKMNHNFFCV96CA,中華段,120.76,都市：住
RPSOMLKMNHNFFAV17CA,東農段,3094.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLKMNHNFFAV96CA,豐航段,73.57,都市：住
RPROMLKMNHNFFAV07CA,東農段,3094.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLPJOHNFFAV17CA,下賓朗段,52.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPJOHNFFAV17CA,下賓朗段,52.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPJOHNFFAV17CA,下賓朗段,7.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
