鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
金城鎮,房地(土地+建物),金門縣金城鎮珠浦西路50巷7弄1~30號,28.18,住,,,1070502,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840725,78.29,3,2,2,有,無,5380000,68728,,0.0,0,,RPOOMLNLNHNFFAW07CA
金城鎮,房地(土地+建物),金門縣金城鎮珠浦南路44巷12弄1~30號,33.47,住,,,1070511,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070117,75.22999999999999,2,2,2,有,無,6000000,79755,,0.0,0,,RPQOMLNLNHNFFAW27CA
金城鎮,房地(土地+建物),金門縣金城鎮珠浦南路44巷12弄1~30號,27.32,住,,,1070511,土地1建物1車位0,一層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070117,62.51,1,0,2,有,無,8300000,132779,,0.0,0,前有店舖一間，做為店舖使用。,RPROMLNLNHNFFAW37CA
金湖鎮,土地,多年段61~90地號,662.0,其他,,,1070418,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4630000,6994,,0.0,0,,RPQNMLOKOHNFFAW37DA
金城鎮,土地,古坵段931~960地號,318.0,其他,,,1070504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,960000,3019,,0.0,0,,RPWNMLOLNHNFFAW97DA
金城鎮,土地,古坵段931~960地號,483.0,其他,,,1070504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,3002,,0.0,0,,RPXNMLOLNHNFFAW08DA
金城鎮,房地(土地+建物),金門縣金城鎮賢聚31~60號,65.58,其他,,,1070516,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1070213,112.61,3,2,2,有,無,7500000,66602,,0.0,0,,RPPNMLOLNHNFFAW17CA
金城鎮,房地(土地+建物),金門縣金城鎮賢聚31~60號,42.08,其他,,,1070516,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1070214,76.92,3,2,2,有,無,4700000,61102,,0.0,0,,RPQNMLOLNHNFFAW27CA
金城鎮,房地(土地+建物),金門縣金城鎮賢聚31~60號,42.08,其他,,,1070516,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1070214,76.92,3,2,2,有,無,4500000,58502,,0.0,0,,RPRNMLOLNHNFFAW37CA
