編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLOLNHNFFAW67CA,2,70.63,見其他登記事項,鋼筋混凝土造,104年12月22日,三層,一層
RPTOMLOLNHNFFAW67CA,2,5.19,見其他登記事項,鋼筋混凝土造,104年12月22日,三層,
RPTOMLOLNHNFFAW67CA,2,17.18,見其他登記事項,鋼筋混凝土造,104年12月22日,三層,
RPRNMLOLNHNFFAW37CA,,71.05,見其他登記事項,鋼筋混凝土造,107年2月14日,三層,二層
RPRNMLOLNHNFFAW37CA,,5.87,見其他登記事項,鋼筋混凝土造,107年2月14日,三層,
RPQOMLNLNHNFFAW27CA,,58.12,見其他登記事項,鋼筋混凝土造,107年1月17日,四層,二層
RPQOMLNLNHNFFAW27CA,,17.11,見其他登記事項,鋼筋混凝土造,107年1月17日,四層,
RPOOMLOLNHNFFAW17CA,,105.40,見其他登記事項,鋼筋混凝土造,107年2月13日,三層,二層
RPOOMLOLNHNFFAW17CA,,7.21,見其他登記事項,鋼筋混凝土造,107年2月13日,三層,
RPPOMLOLNHNFFAW27CA,,86.13,見其他登記事項,鋼筋混凝土造,107年2月13日,四層,三層
RPPOMLOLNHNFFAW27CA,,16.65,見其他登記事項,鋼筋混凝土造,107年2月13日,四層,
RPROMLNLNHNFFAW37CA,,48.55,見其他登記事項,鋼筋混凝土造,107年1月17日,四層,一層
RPROMLNLNHNFFAW37CA,,13.96,見其他登記事項,鋼筋混凝土造,107年1月17日,四層,
RPQNMLOLNHNFFAW27CA,,71.05,見其他登記事項,鋼筋混凝土造,107年2月14日,三層,三層
RPQNMLOLNHNFFAW27CA,,5.87,見其他登記事項,鋼筋混凝土造,107年2月14日,三層,
RPOOMLNLNHNFFAW07CA,23,70.81,住家用,鋼筋混凝土造,84年7月25日,四層,二層
RPOOMLNLNHNFFAW07CA,23,7.48,共用部分,鋼筋混凝土加強磚造,84年7月27日,四層,
RPPNMLOLNHNFFAW17CA,,105.40,見其他登記事項,鋼筋混凝土造,107年2月13日,三層,一層
RPPNMLOLNHNFFAW17CA,,7.21,見其他登記事項,鋼筋混凝土造,107年2月13日,三層,
RPROMLOLNHNFFAW47CA,,86.13,見其他登記事項,鋼筋混凝土造,107年2月13日,四層,四層
RPROMLOLNHNFFAW47CA,,16.65,見其他登記事項,鋼筋混凝土造,107年2月13日,四層,
RPQOMLOLNHNFFAW37CA,,81.37,見其他登記事項,鋼筋混凝土造,107年2月13日,四層,一層
RPSNMLOLNHNFFAW47CA,,71.05,見其他登記事項,鋼筋混凝土造,107年2月14日,三層,一層
RPQOMLOLNHNFFAW37CA,,16.65,見其他登記事項,鋼筋混凝土造,107年2月13日,四層,
RPSNMLOLNHNFFAW47CA,,5.87,見其他登記事項,鋼筋混凝土造,107年2月14日,三層,
RPTNMLOLNHNFFAW57CA,,105.40,見其他登記事項,鋼筋混凝土造,107年2月13日,三層,二層
