編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQNMLOKOHNFFAW37DA,多年段,172.00,都市：其他
RPQNMLOKOHNFFAW37DA,多年段,490.00,都市：其他
RPXNMLOLNHNFFAW08DA,古坵段,483.00,都市：其他
RPWNMLOLNHNFFAW97DA,古坵段,318.00,都市：其他
RPTOMLOLNHNFFAW67CA,煙墩段,45.62,都市：其他
RPRNMLOLNHNFFAW37CA,賢聚測段,42.08,都市：其他
RPQOMLNLNHNFFAW27CA,天后宮段,33.47,都市：住
RPOOMLOLNHNFFAW17CA,賢聚測段,65.58,都市：其他
RPPOMLOLNHNFFAW27CA,賢聚測段,49.65,都市：其他
RPROMLNLNHNFFAW37CA,天后宮段,27.32,都市：住
RPQNMLOLNHNFFAW27CA,賢聚測段,42.08,都市：其他
RPVNMLNLNHNFFAW67CA,盤山村段,89.50,都市：其他
RPOOMLNLNHNFFAW07CA,祥瑞段,28.18,都市：住
RPPNMLOLNHNFFAW17CA,賢聚測段,65.58,都市：其他
RPVNMLOLNHNFFAW77CA,珠山段,552.26,都市：農
RPROMLOLNHNFFAW47CA,賢聚測段,49.65,都市：其他
RPQOMLOLNHNFFAW37CA,賢聚測段,49.65,都市：其他
RPSNMLOLNHNFFAW47CA,賢聚測段,42.08,都市：其他
RPTNMLOLNHNFFAW57CA,賢聚測段,65.58,都市：其他
RPTNMLNLNHNFFAW47CA,湖前段,59.16,都市：其他
RPSOMLOLNHNFFAW57CA,盤山村段,31.86,都市：其他
RPUNMLOLNHNFFAW67CA,賢聚測段,65.58,都市：其他
RPPNMLKLOHNFFAW86CA,古區測段,320.06,都市：住
RPPOMLSJOHNFFAW57CA,北一段,654.75,都市：農
SPXNMLSJOHNFFAW38CA,小西門劃測段,42.91,都市：其他
RPXNMLSJOHNFFAW28CA,小西門劃測段,42.91,都市：其他
RPOOMLSJOHNFFAW47CA,小西門劃測段,42.91,都市：其他
RPSOMLSJOHNFFAW87CA,祥豐段,17.81,都市：其他
RPTNMLSLNHNFFAW97CA,庵前村段,104.00,都市：其他
RPQNMLSLNHNFFAW77DA,煙墩段,888.89,都市：其他
RPQNMLSLNHNFFAW77DA,煙墩段,16.42,都市：其他
RPRNMLSLNHNFFAW77CA,青山段,524.71,都市：其他
RPSNMLSLNHNFFAW87CA,湖尾村段,39.61,都市：其他
RPTNMLRJOHNFFAW77CA,市港段,11.27,都市：住
RPQNMLLMNHNFFAW07CA,后豐港段,534.00,都市：農
RPSNMLPLNHNFFAW57CA,寧湖一劃段,1000.01,都市：農
RPQNMLKMNHNFFAW96CA,長寮段,435.12,都市：其他
RPQNMLKMNHNFFAW96CA,長寮段,302.78,都市：其他
RPRNMLTLNHNFFAW87CA,陳坑段,67.89,都市：其他
RPSNMLTLNHNFFAW97CA,陳坑段,67.95,都市：其他
RPVNMLLJOHNFFAW37CA,湖下村段,210.00,都市：其他
RPPNMLLJOHNFFAW86DA,湖尾村段,38.98,都市：住
RPQNMLPJOHNFFAW27CA,歐厝段,2298.58,都市：農
RPTNMLPLNHNFFAW67CA,寧湖一劃段,124.95,都市：其他
RPTNMLPLNHNFFAW67CA,寧湖一劃段,28.04,都市：其他
RPQNMLPLNHNFFAW37CA,市港段,25.15,都市：住
RPRNMLPLNHNFFAW47CA,賢聚測段,65.58,都市：其他
RPVNMLPLOHNFFAW08DA,歐厝村段,337.00,都市：其他
RPQNMLLJOHNFFAW96DA,湖尾村段,38.43,都市：住
RPPNMLMLOHNFFAW17DA,湖尾村段,38.56,都市：住
RPRNMLPJOHNFFAW37CA,祥瑞段,56.11,都市：住
RPRNMLPJOHNFFAW37CA,祥瑞段,56.11,都市：住
RPPNMLOJOHNFFAW07CA,太湖劃測段,729.73,都市：農
RPTNMLOJOHNFFAW47CA,盤山村段,37.47,都市：其他
