鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
湖西鄉,土地,西溪新段481~510地號,430.71,,一般農業區,農牧用地,1070319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,3483,,0.0,0,,RPPNMLNLNHNFFAX17CA
白沙鄉,土地,後寮南段1081~1110地號,684.75,,一般農業區,農牧用地,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,620000,905,,0.0,0,,RPQNMLNLNHNFFAX27CA
湖西鄉,土地,林投北段631~660地號,142.81,,一般農業區,水利用地,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1121059,7850,,0.0,0,,RPPNMLKMNHNFFAX96CA
湖西鄉,土地,北寮新段31~60地號,120.66,,鄉村區,乙種建築用地,1070306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,2901,,0.0,0,逾期未辦繼承標售案,RPQNMLKMNHNFFAX17DA
馬公市,土地,鎖港西段91~120地號,108.74,住,,,1070426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1994292,18340,,0.0,0,向政府機關承購之案件。,RPRNMLLLNHNFFAX37EA
湖西鄉,土地,潭邊新段631~660地號,335.83,,鄉村區,乙種建築用地,1070306,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,10720,,0.0,0,逾期未辦繼承標售案,RPRNMLNLNHNFFAX47DA
馬公市,土地,埕東段211~240地號,151.44,住,,,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11910600,78649,,0.0,0,,RPPNMLMKOHNFFAX07CA
馬公市,土地,埕東段211~240地號,165.29,住,,,1070507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,78650,,0.0,0,,RPQNMLMKOHNFFAX17CA
馬公市,土地,埕東段211~240地號,115.71,住,,,1070507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,77781,,0.0,0,,RPRNMLMKOHNFFAX27CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市文昌街31~60號,49.25,住,,,1070417,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821027,229.9,4,1,2,有,無,6500000,28273,坡道平面,0.0,0,,RPXNMLPLNHNFFAX18CA
馬公市,土地,五德東段1321~1350地號,1932.07,,一般農業區,農牧用地,1061009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6136725,3176,,0.0,0,,RPPNMLOLNHNFFAX27CA
馬公市,土地,五德西段751~780地號,1065.8,,一般農業區,農牧用地,1061009,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2579200,2420,,0.0,0,,RPRNMLOLNHNFFAX47CA
馬公市,土地,西澳段1081~1110地號,182.49,住,,,1070415,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11600000,63565,,0.0,0,,RPUNMLPLNHNFFAX87CA
馬公市,房地(土地+建物),澎湖縣馬公市中華路61~90號,37.39,住,,,1070222,土地3建物1車位0,一層，二層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820317,95.18,0,2,1,有,無,12800000,134482,,0.0,0,,RPWNMLPLNHNFFAX08CA
馬公市,房地(土地+建物),澎湖縣馬公市樂群街1~30號,53.16,住,,,1070430,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680423,67.4,2,1,1,有,無,2160000,32047,,0.0,0,,RPSNMLPLNHNFFAX67CA
馬公市,土地,馬公段1111~1140地號,38.0,商,,,1070509,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3771400,99247,,0.0,0,,RPTNMLPLNHNFFAX77CA
馬公市,土地,國宅段31~60地號,1647.55,,一般農業區,農牧用地,1070516,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1821,,0.0,0,親友間買賣,RPSNMLOLNHNFFAX57CA
馬公市,房地(土地+建物),澎湖縣馬公市新生路1~30號,48.0,商,,,1070331,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670819,80.0,5,1,3,有,無,2100000,26250,,0.0,0,賣方賣清價,RPQNMLRLNHNFFAX67CA
馬公市,房地(土地+建物),澎湖縣馬公市文昌街1~30號,37.26,住,,,1070508,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0890111,124.61000000000001,3,1,2,有,有,4660000,37397,,0.0,0,土地增值稅由買方負擔。共有人4人,RPSNMLKMNHNFFAX27CA
馬公市,房地(土地+建物),澎湖縣馬公市中華路35巷1~30號,46.0,商,,,1070509,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0561027,67.64,3,2,2,有,無,2630000,38882,,0.0,0,,RPQNMLSLNHNFFAX77CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市三多路331~360號,30.6,住,,,1070507,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950710,186.73,3,1,2,有,有,4600000,24634,坡道平面,0.0,0,,RPTNMLOLNHNFFAX77DA
白沙鄉,土地,赤崁北段91~120地號,142.46,,鄉村區,丁種建築用地,1070502,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1660000,11652,,0.0,0,,RPQNMLPLNHNFFAX57DA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市林森路31~60號,18.55,其他,,,1070502,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850202,102.65,3,2,2,有,無,5000000,48709,坡道機械,0.0,0,,RPQNMLLLOHNFFAX17CA
馬公市,土地,五福段301~330地號,30.24,,一般農業區,交通用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,13228,,0.0,0,,RPPNMLSLNHNFFAX67CA
馬公市,土地,四維段241~270地號,904.76,,一般農業區,農牧用地,1051117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11600000,12821,,0.0,0,,RPPNMLRLNHNFFAX57CA
馬公市,土地,五德西段211~240地號,257.02,,鄉村區,乙種建築用地,1070411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3700000,14396,,0.0,0,,RPRNMLPLNHNFFAX57CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市陽明路61~90號,77.31,住,,,1070508,土地2建物1車位1,一層，二層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0880515,379.83,0,0,0,無,有,15700000,41334,坡道平面,0.0,0,,RPPNMLTKOHNFFAX77CA
七美鄉,土地,大嶼段5521~5550地號,153.0,,一般農業區,甲種建築用地,1070502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,236000,1542,,0.0,0,含有部分私設道路。,RPPNMLOJOHNFFAX17CA
湖西鄉,土地,白坑段331~360地號,1674.0,,一般農業區,農牧用地,1070322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1493,,0.0,0,,RPPNMLLKOHNFFAX96CA
湖西鄉,土地,許家段481~510地號,586.16,,一般農業區,農牧用地,1070401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17550000,29941,,0.0,0,權利人共二人  含未來興建二戶之房屋價款,RPPNMLLLOHNFFAX07CA
馬公市,房地(土地+建物),澎湖縣馬公市永安街15巷1~30號,93.75,住,,,1070312,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0691122,292.29,7,1,5,有,無,4300000,14711,,0.0,0,共有人3人,RPUNMLKMNHNFFAX57DA
