編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLOLNHNFFAX77DA,12,186.73,見其他登記事項,鋼筋混凝土造,95年7月10日,十四層,九層
RPQNMLSLNHNFFAX77CA,51,67.64,住家用,見其他登記事項,56年10月27日,二層,一層 二層
RPQNMLRLNHNFFAX67CA,40,80.00,住家用,鋼筋混凝土加強磚造,67年8月19日,二層,一層 二層 電梯樓梯間
RPQNMLLLOHNFFAX17CA,22,102.65,住家用,鋼筋混凝土造,85年2月2日,八層,六層
RPSNMLKMNHNFFAX27CA,18,27.86,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,四層
RPSNMLKMNHNFFAX27CA,18,3.29,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,
RPSNMLKMNHNFFAX27CA,18,27.86,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,四層
RPSNMLKMNHNFFAX27CA,18,3.29,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,
RPSNMLKMNHNFFAX27CA,18,27.86,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,四層
RPSNMLKMNHNFFAX27CA,18,3.29,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,
RPSNMLKMNHNFFAX27CA,18,27.86,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,四層
RPSNMLKMNHNFFAX27CA,18,3.29,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,
RPUNMLKMNHNFFAX57DA,37,97.43,住商用,鋼筋混凝土造,69年11月22日,四層,一層 二層 三層 四層 電梯樓梯間 地下層
RPUNMLKMNHNFFAX57DA,37,97.43,住商用,鋼筋混凝土造,69年11月22日,四層,一層 二層 三層 四層 電梯樓梯間 地下層
RPUNMLKMNHNFFAX57DA,37,97.43,住商用,鋼筋混凝土造,69年11月22日,四層,一層 二層 三層 四層 電梯樓梯間 地下層
RPQNMLTLNHNFFAX87CA,40,72.04,住家用,見其他登記事項,67年2月19日,二層,一層 二層 電梯樓梯間
RPPNMLTKOHNFFAX77CA,19,333.31,住商用,鋼筋混凝土造,88年5月15日,七層,一層 二層
RPPNMLTKOHNFFAX77CA,19,46.52,見其他登記事項,鋼筋混凝土造,88年5月15日,七層,
RPQNMLMJOHNFFAX07CA,4,364.13,住家用,鋼筋混凝土造,103年9月17日,三層,一層 二層 三層 見其他登記事項
RPVNMLKMNHNFFAX57CA,29,193.77,住商用,鋼筋混凝土造,78年1月20日,五層,一層 二層 三層 四層 五層 地下層
RPRNMLMJOHNFFAX17CA,12,114.38,見其他登記事項,鋼筋混凝土造,95年7月10日,十四層,五層
RPRNMLMJOHNFFAX17CA,12,72.35,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPRNMLLMNHNFFAX37DA,23,175.02,住商用,鋼筋混凝土造,84年7月4日,三層,一層 二層 三層 電梯樓梯間
RPWNMLPLNHNFFAX08CA,25,88.87,住商用,鋼筋混凝土造,82年3月17日,七層,一層 二層
RPWNMLPLNHNFFAX08CA,25,6.31,見其他登記事項,鋼筋混凝土造,82年3月17日,七層,
RPXNMLPLNHNFFAX18CA,24,169.78,住家用,鋼筋混凝土造,82年10月27日,六層,六層
RPXNMLPLNHNFFAX18CA,24,60.12,見其他登記事項,鋼筋混凝土造,82年10月27日,六層,
RPSNMLPLNHNFFAX67CA,39,67.40,住家用,鋼筋混凝土加強磚造,68年4月23日,二層,一層 二層 電梯樓梯間
