編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLNLNHNFFAX17CA,西溪新段,430.71,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLLNHNFFAX37EA,鎖港西段,108.74,都市：住
RPPNMLMKOHNFFAX07CA,埕東段,151.44,都市：住
RPQNMLMKOHNFFAX17CA,埕東段,165.29,都市：住
RPRNMLMKOHNFFAX27CA,埕東段,115.71,都市：住
RPPNMLOLNHNFFAX27CA,五德東段,1932.07,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLNHNFFAX47CA,五德西段,299.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLNHNFFAX47CA,五德西段,281.03,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLOLNHNFFAX47CA,五德西段,258.26,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLNHNFFAX47CA,五德西段,227.48,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKMNHNFFAX17DA,北寮新段,120.66,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLNHNFFAX27CA,後寮南段,684.75,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLOLNHNFFAX57CA,國宅段,1363.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLOLNHNFFAX57CA,北極段,148.62,都市：住
RPSNMLOLNHNFFAX57CA,北極段,105.09,都市：其他
RPSNMLOLNHNFFAX57CA,北極段,30.62,都市：住
RPRNMLNLNHNFFAX47DA,潭邊新段,257.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNLNHNFFAX47DA,潭邊新段,78.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKMNHNFFAX96CA,林投北段,142.81,非都市：一般農業區 ; 非都市編定：水利用地
RPTNMLOLNHNFFAX77DA,文光段,27.09,都市：住
RPTNMLOLNHNFFAX77DA,文光段,3.51,都市：住
RPQNMLSLNHNFFAX77CA,馬公段,46.00,都市：商
RPQNMLRLNHNFFAX67CA,馬公段,48.00,都市：商
RPPNMLSLNHNFFAX67CA,五福段,30.24,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLLLOHNFFAX17CA,埕東段,.80,都市：其他
RPQNMLLLOHNFFAX17CA,埕東段,17.75,都市：其他
RPPNMLRLNHNFFAX57CA,四維段,904.76,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOJOHNFFAX17CA,大嶼段,153.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLLKOHNFFAX96CA,白坑段,1674.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLLLOHNFFAX07CA,許家段,586.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLKMNHNFFAX27CA,埕東段,9.31,都市：住
RPSNMLKMNHNFFAX27CA,埕東段,9.31,都市：住
RPSNMLKMNHNFFAX27CA,埕東段,9.31,都市：住
RPSNMLKMNHNFFAX27CA,埕東段,9.31,都市：住
RPPNMLTLNHNFFAX77CA,文石段,460.08,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLKMNHNFFAX57DA,馬公段,31.25,都市：住
RPUNMLKMNHNFFAX57DA,馬公段,31.25,都市：住
RPUNMLKMNHNFFAX57DA,馬公段,31.25,都市：住
RPPNMLLMNHNFFAX07CA,海堤段,14.52,都市：商
RPQNMLTLNHNFFAX87CA,埕中段,74.66,都市：住
RPPNMLTKOHNFFAX77CA,馬公段,67.56,都市：住
RPPNMLTKOHNFFAX77CA,馬公段,9.74,都市：住
RPPNMLPJOHNFFAX27CA,四維段,599.32,都市：農
RPSNMLLKOHNFFAX27CA,國宅段,1028.52,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLLKOHNFFAX27CA,大池段,718.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLKMNHNFFAX17EA,海堤段,73.04,都市：商
RPSNMLLMNHNFFAX37CA,湖西南段,108.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLLMNHNFFAX37CA,湖西南段,143.56,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLMNHNFFAX27DA,雙湖段,202.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLMNHNFFAX27DA,雙湖段,161.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMJOHNFFAX07CA,五福段,220.40,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLLJOHNFFAX96DA,竹灣段,46.31,非都市：鄉村區 ; 非都市編定：交通用地
RPPNMLLJOHNFFAX96DA,竹灣段,26.64,非都市：鄉村區 ; 非都市編定：交通用地
RPRNMLLJOHNFFAX17DA,西澳段,160.47,都市：住
RPVNMLKMNHNFFAX57CA,馬公段,38.00,都市：商
RPRNMLMJOHNFFAX17CA,文光段,27.09,都市：住
RPRNMLMJOHNFFAX17CA,文光段,3.51,都市：住
RPRNMLLMNHNFFAX37DA,海堤段,81.46,都市：住
RPRNMLLMNHNFFAX37DA,海堤段,5.68,都市：住
RPQNMLPLNHNFFAX57DA,赤崁北段,70.15,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPLNHNFFAX57DA,赤崁北段,72.31,非都市：鄉村區 ; 非都市編定：丁種建築用地
RPRNMLPLNHNFFAX57CA,五德西段,257.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPLNHNFFAX77CA,馬公段,27.00,都市：商
RPTNMLPLNHNFFAX77CA,馬公段,11.00,都市：商
RPUNMLPLNHNFFAX87CA,西澳段,23.33,都市：住
RPUNMLPLNHNFFAX87CA,西澳段,158.63,都市：住
RPUNMLPLNHNFFAX87CA,西澳段,.53,都市：住
RPWNMLPLNHNFFAX08CA,馬公段,13.11,都市：住
RPWNMLPLNHNFFAX08CA,馬公段,20.23,都市：住
RPWNMLPLNHNFFAX08CA,馬公段,4.05,都市：其他
RPXNMLPLNHNFFAX18CA,埕東段,49.25,都市：住
RPSNMLPLNHNFFAX67CA,春暉段,51.27,都市：住
RPSNMLPLNHNFFAX67CA,春暉段,1.89,都市：住
